"","SITE","YEAR","SIDE","ZONE","TRANSECT","Sum","CLASSCODE","COUNT","percent_cover"
"417","Destruction Island",2017,"2",5,4,30,"0-10cm",0,0
"418","Destruction Island",2018,"N",5,1,30,"0-10cm",0,0
"419","Destruction Island",2018,"N",5,2,30,"0-10cm",0,0
"420","Destruction Island",2018,"N",5,3,30,"0-10cm",0,0
"421","Destruction Island",2018,"N",5,4,30,"0-10cm",0,0
"422","Destruction Island",2018,"N",10,1,30,"0-10cm",0,0
"423","Destruction Island",2018,"N",10,2,30,"0-10cm",0,0
"424","Destruction Island",2018,"N",10,3,30,"0-10cm",0,0
"425","Destruction Island",2018,"S",5,1,30,"0-10cm",0,0
"426","Destruction Island",2018,"S",5,2,30,"0-10cm",0,0
"427","Destruction Island",2018,"S",5,3,30,"0-10cm",0,0
"428","Destruction Island",2018,"S",5,4,30,"0-10cm",0,0
"429","Destruction Island",2018,"S",10,1,30,"0-10cm",0,0
"430","Destruction Island",2018,"S",10,2,30,"0-10cm",0,0
"431","Destruction Island",2018,"S",10,3,30,"0-10cm",0,0
"432","Destruction Island",2018,"S",10,4,30,"0-10cm",0,0
"433","Destruction Island",2019,"N",5,1,30,"0-10cm",1,0.0333333333333333
"434","Destruction Island",2019,"N",5,2,30,"0-10cm",1,0.0333333333333333
"435","Destruction Island",2019,"N",5,3,30,"0-10cm",5,0.166666666666667
"436","Destruction Island",2019,"N",5,4,30,"0-10cm",7,0.233333333333333
"437","Destruction Island",2019,"N",10,1,30,"0-10cm",1,0.0333333333333333
"438","Destruction Island",2019,"N",10,2,30,"0-10cm",0,0
"439","Destruction Island",2019,"N",10,3,30,"0-10cm",1,0.0333333333333333
"440","Destruction Island",2019,"N",10,4,30,"0-10cm",6,0.2
"441","Destruction Island",2019,"S",5,1,30,"0-10cm",1,0.0333333333333333
"442","Destruction Island",2019,"S",5,2,30,"0-10cm",0,0
"443","Destruction Island",2019,"S",5,3,30,"0-10cm",0,0
"444","Destruction Island",2019,"S",5,4,30,"0-10cm",0,0
"445","Destruction Island",2019,"S",10,1,30,"0-10cm",0,0
"446","Destruction Island",2019,"S",10,2,30,"0-10cm",0,0
"447","Destruction Island",2019,"S",10,3,30,"0-10cm",0,0
"448","Destruction Island",2019,"S",10,4,30,"0-10cm",3,0.1
"449","Neah Bay",2016,"1",5,1,30,"0-10cm",20,0.666666666666667
"450","Neah Bay",2016,"1",5,2,30,"0-10cm",10,0.333333333333333
"451","Neah Bay",2016,"1",5,3,30,"0-10cm",17,0.566666666666667
"452","Neah Bay",2016,"1",5,4,30,"0-10cm",1,0.0333333333333333
"453","Neah Bay",2016,"1",10,1,30,"0-10cm",28,0.933333333333333
"454","Neah Bay",2016,"1",10,2,30,"0-10cm",29,0.966666666666667
"455","Neah Bay",2016,"1",10,3,30,"0-10cm",24,0.8
"456","Neah Bay",2016,"1",10,4,30,"0-10cm",7,0.233333333333333
"457","Neah Bay",2016,"1",10,5,30,"0-10cm",6,0.2
"458","Neah Bay",2016,"1",10,6,30,"0-10cm",23,0.766666666666667
"459","Neah Bay",2017,"1",5,1,30,"0-10cm",2,0.0666666666666667
"460","Neah Bay",2017,"1",5,2,30,"0-10cm",2,0.0666666666666667
"461","Neah Bay",2017,"1",5,3,30,"0-10cm",6,0.2
"462","Neah Bay",2017,"1",5,4,30,"0-10cm",3,0.1
"463","Neah Bay",2017,"1",10,1,30,"0-10cm",3,0.1
"464","Neah Bay",2017,"1",10,2,30,"0-10cm",0,0
"465","Neah Bay",2017,"1",10,3,30,"0-10cm",8,0.266666666666667
"466","Neah Bay",2017,"1",10,4,30,"0-10cm",8,0.266666666666667
"467","Neah Bay",2017,"2",5,1,30,"0-10cm",4,0.133333333333333
"468","Neah Bay",2017,"2",5,2,30,"0-10cm",2,0.0666666666666667
"469","Neah Bay",2017,"2",5,3,30,"0-10cm",0,0
"470","Neah Bay",2017,"2",5,4,30,"0-10cm",10,0.333333333333333
"471","Neah Bay",2017,"2",10,1,30,"0-10cm",6,0.2
"472","Neah Bay",2017,"2",10,2,30,"0-10cm",4,0.133333333333333
"473","Neah Bay",2017,"2",10,3,30,"0-10cm",6,0.2
"474","Neah Bay",2017,"2",10,4,30,"0-10cm",10,0.333333333333333
"475","Neah Bay",2018,"N",5,1,30,"0-10cm",9,0.3
"476","Neah Bay",2018,"N",5,2,30,"0-10cm",5,0.166666666666667
"477","Neah Bay",2018,"N",5,3,30,"0-10cm",4,0.133333333333333
"478","Neah Bay",2018,"N",5,4,30,"0-10cm",1,0.0333333333333333
"479","Neah Bay",2018,"N",10,1,30,"0-10cm",0,0
"480","Neah Bay",2018,"N",10,2,30,"0-10cm",0,0
"481","Neah Bay",2018,"N",10,3,30,"0-10cm",0,0
"482","Neah Bay",2018,"N",10,4,30,"0-10cm",0,0
"483","Neah Bay",2018,"S",5,1,30,"0-10cm",13,0.433333333333333
"484","Neah Bay",2018,"S",5,2,30,"0-10cm",0,0
"485","Neah Bay",2018,"S",5,3,30,"0-10cm",0,0
"486","Neah Bay",2018,"S",10,1,30,"0-10cm",6,0.2
"487","Neah Bay",2018,"S",10,2,30,"0-10cm",5,0.166666666666667
"488","Neah Bay",2018,"S",10,3,30,"0-10cm",3,0.1
"489","Neah Bay",2018,"S",10,4,30,"0-10cm",8,0.266666666666667
"490","Neah Bay",2019,"N",5,1,30,"0-10cm",2,0.0666666666666667
"491","Neah Bay",2019,"N",5,2,30,"0-10cm",12,0.4
"492","Neah Bay",2019,"N",5,3,30,"0-10cm",18,0.6
"493","Neah Bay",2019,"N",10,1,30,"0-10cm",14,0.466666666666667
"494","Neah Bay",2019,"N",10,2,30,"0-10cm",2,0.0666666666666667
"495","Neah Bay",2019,"N",10,3,30,"0-10cm",0,0
"496","Neah Bay",2019,"N",10,4,30,"0-10cm",0,0
"497","Neah Bay",2019,"S",5,1,30,"0-10cm",16,0.533333333333333
"498","Neah Bay",2019,"S",5,2,30,"0-10cm",6,0.2
"499","Neah Bay",2019,"S",5,3,30,"0-10cm",12,0.4
"500","Neah Bay",2019,"S",5,4,30,"0-10cm",26,0.866666666666667
"501","Neah Bay",2019,"S",10,1,30,"0-10cm",12,0.4
"502","Neah Bay",2019,"S",10,2,31,"0-10cm",11,0.354838709677419
"503","Neah Bay",2019,"S",10,3,30,"0-10cm",4,0.133333333333333
"504","Neah Bay",2019,"S",10,4,30,"0-10cm",10,0.333333333333333
"505","Tatoosh Island",2016,"1",5,1,30,"0-10cm",0,0
"506","Tatoosh Island",2016,"1",5,2,30,"0-10cm",0,0
"507","Tatoosh Island",2016,"1",5,3,30,"0-10cm",0,0
"508","Tatoosh Island",2016,"1",5,4,30,"0-10cm",0,0
"509","Tatoosh Island",2016,"1",5,5,30,"0-10cm",0,0
"510","Tatoosh Island",2016,"1",5,6,30,"0-10cm",0,0
"511","Tatoosh Island",2016,"1",10,1,30,"0-10cm",0,0
"512","Tatoosh Island",2016,"1",10,2,30,"0-10cm",0,0
"513","Tatoosh Island",2017,"1",5,1,30,"0-10cm",0,0
"514","Tatoosh Island",2017,"1",5,2,30,"0-10cm",0,0
"515","Tatoosh Island",2017,"1",5,3,30,"0-10cm",0,0
"516","Tatoosh Island",2017,"1",10,1,30,"0-10cm",0,0
"517","Tatoosh Island",2017,"1",10,2,30,"0-10cm",0,0
"518","Tatoosh Island",2017,"1",10,3,30,"0-10cm",0,0
"519","Tatoosh Island",2017,"1",10,4,30,"0-10cm",0,0
"520","Tatoosh Island",2017,"2",5,1,30,"0-10cm",0,0
"521","Tatoosh Island",2017,"2",5,2,30,"0-10cm",1,0.0333333333333333
"522","Tatoosh Island",2017,"2",5,3,30,"0-10cm",0,0
"523","Tatoosh Island",2017,"2",10,1,30,"0-10cm",0,0
"524","Tatoosh Island",2017,"2",10,2,30,"0-10cm",0,0
"525","Tatoosh Island",2017,"2",10,3,30,"0-10cm",0,0
"526","Tatoosh Island",2018,"N",5,1,30,"0-10cm",0,0
"527","Tatoosh Island",2018,"N",5,2,30,"0-10cm",0,0
"528","Tatoosh Island",2018,"N",5,3,30,"0-10cm",0,0
"529","Tatoosh Island",2018,"N",5,4,30,"0-10cm",0,0
"530","Tatoosh Island",2018,"N",10,1,30,"0-10cm",2,0.0666666666666667
"531","Tatoosh Island",2018,"N",10,2,30,"0-10cm",0,0
"532","Tatoosh Island",2018,"N",10,3,30,"0-10cm",0,0
"533","Tatoosh Island",2018,"N",10,4,30,"0-10cm",0,0
"534","Tatoosh Island",2018,"S",5,1,30,"0-10cm",0,0
"535","Tatoosh Island",2018,"S",5,2,30,"0-10cm",1,0.0333333333333333
"536","Tatoosh Island",2018,"S",5,3,30,"0-10cm",0,0
"537","Tatoosh Island",2018,"S",5,4,30,"0-10cm",0,0
"538","Tatoosh Island",2018,"S",10,1,30,"0-10cm",4,0.133333333333333
"539","Tatoosh Island",2018,"S",10,2,30,"0-10cm",3,0.1
"540","Tatoosh Island",2018,"S",10,3,30,"0-10cm",4,0.133333333333333
"541","Tatoosh Island",2019,"N",5,1,30,"0-10cm",5,0.166666666666667
"542","Tatoosh Island",2019,"N",5,2,30,"0-10cm",1,0.0333333333333333
"543","Tatoosh Island",2019,"N",5,3,30,"0-10cm",1,0.0333333333333333
"544","Tatoosh Island",2019,"N",5,4,30,"0-10cm",5,0.166666666666667
"545","Tatoosh Island",2019,"N",10,1,30,"0-10cm",6,0.2
"546","Tatoosh Island",2019,"N",10,2,30,"0-10cm",0,0
"547","Tatoosh Island",2019,"N",10,3,30,"0-10cm",0,0
"548","Tatoosh Island",2019,"S",5,1,30,"0-10cm",0,0
"549","Tatoosh Island",2019,"S",5,2,30,"0-10cm",0,0
"550","Tatoosh Island",2019,"S",5,3,30,"0-10cm",0,0
"551","Tatoosh Island",2019,"S",5,4,30,"0-10cm",0,0
"552","Tatoosh Island",2019,"S",10,1,30,"0-10cm",10,0.333333333333333
"553","Tatoosh Island",2019,"S",10,2,30,"0-10cm",0,0
"554","Tatoosh Island",2019,"S",10,3,30,"0-10cm",0,0
"555","Cape Alava",2016,"1",5,1,30,"10cm-1m",30,1
"556","Cape Alava",2016,"1",5,2,30,"10cm-1m",30,1
"557","Cape Alava",2016,"1",5,3,30,"10cm-1m",19,0.633333333333333
"558","Cape Alava",2016,"1",5,4,30,"10cm-1m",29,0.966666666666667
"559","Cape Alava",2016,"1",5,5,30,"10cm-1m",30,1
"560","Cape Alava",2016,"1",5,6,30,"10cm-1m",30,1
"561","Cape Alava",2016,"1",10,1,30,"10cm-1m",29,0.966666666666667
"562","Cape Alava",2016,"1",10,2,30,"10cm-1m",27,0.9
"563","Cape Alava",2016,"1",10,3,30,"10cm-1m",26,0.866666666666667
"564","Cape Alava",2016,"1",10,4,30,"10cm-1m",23,0.766666666666667
"565","Cape Alava",2016,"1",10,5,30,"10cm-1m",27,0.9
"566","Cape Alava",2016,"1",10,6,30,"10cm-1m",28,0.933333333333333
"567","Cape Alava",2017,"1",5,1,30,"10cm-1m",26,0.866666666666667
"568","Cape Alava",2017,"1",5,2,30,"10cm-1m",28,0.933333333333333
"569","Cape Alava",2017,"1",5,3,30,"10cm-1m",27,0.9
"570","Cape Alava",2017,"1",5,4,30,"10cm-1m",21,0.7
"571","Cape Alava",2017,"1",10,1,30,"10cm-1m",18,0.6
"572","Cape Alava",2017,"1",10,2,30,"10cm-1m",27,0.9
"573","Cape Alava",2017,"1",10,3,30,"10cm-1m",29,0.966666666666667
"574","Cape Alava",2017,"1",10,4,30,"10cm-1m",10,0.333333333333333
"575","Cape Alava",2017,"1",10,5,30,"10cm-1m",16,0.533333333333333
"576","Cape Alava",2017,"1",10,6,30,"10cm-1m",6,0.2
"577","Cape Alava",2017,"2",5,1,30,"10cm-1m",27,0.9
"578","Cape Alava",2017,"2",5,2,30,"10cm-1m",28,0.933333333333333
"579","Cape Alava",2017,"2",5,3,30,"10cm-1m",29,0.966666666666667
"580","Cape Alava",2017,"2",5,4,30,"10cm-1m",30,1
"581","Cape Alava",2017,"2",10,1,30,"10cm-1m",10,0.333333333333333
"582","Cape Alava",2017,"2",10,2,30,"10cm-1m",13,0.433333333333333
"583","Cape Alava",2017,"2",10,3,30,"10cm-1m",6,0.2
"584","Cape Alava",2017,"2",10,4,30,"10cm-1m",0,0
"585","Cape Alava",2017,"2",10,5,30,"10cm-1m",5,0.166666666666667
"586","Cape Alava",2017,"2",10,6,30,"10cm-1m",21,0.7
"587","Cape Alava",2018,"E",5,1,30,"10cm-1m",25,0.833333333333333
"588","Cape Alava",2018,"E",5,2,30,"10cm-1m",24,0.8
"589","Cape Alava",2018,"E",5,3,30,"10cm-1m",19,0.633333333333333
"590","Cape Alava",2018,"E",5,4,30,"10cm-1m",22,0.733333333333333
"591","Cape Alava",2018,"E",10,1,30,"10cm-1m",26,0.866666666666667
"592","Cape Alava",2018,"E",10,2,30,"10cm-1m",15,0.5
"593","Cape Alava",2018,"E",10,3,30,"10cm-1m",18,0.6
"594","Cape Alava",2018,"E",10,4,30,"10cm-1m",13,0.433333333333333
"595","Cape Alava",2018,"W",5,1,30,"10cm-1m",18,0.6
"596","Cape Alava",2018,"W",5,2,30,"10cm-1m",19,0.633333333333333
"597","Cape Alava",2018,"W",5,3,30,"10cm-1m",24,0.8
"598","Cape Alava",2018,"W",5,4,30,"10cm-1m",22,0.733333333333333
"599","Cape Alava",2018,"W",10,1,30,"10cm-1m",30,1
"600","Cape Alava",2018,"W",10,2,30,"10cm-1m",25,0.833333333333333
"601","Cape Alava",2018,"W",10,3,30,"10cm-1m",21,0.7
"602","Cape Alava",2018,"W",10,4,30,"10cm-1m",17,0.566666666666667
"603","Cape Alava",2019,"E",5,1,30,"10cm-1m",24,0.8
"604","Cape Alava",2019,"E",5,2,30,"10cm-1m",30,1
"605","Cape Alava",2019,"E",5,3,30,"10cm-1m",25,0.833333333333333
"606","Cape Alava",2019,"E",5,4,30,"10cm-1m",25,0.833333333333333
"607","Cape Alava",2019,"E",10,1,30,"10cm-1m",23,0.766666666666667
"608","Cape Alava",2019,"E",10,2,30,"10cm-1m",28,0.933333333333333
"609","Cape Alava",2019,"E",10,3,30,"10cm-1m",29,0.966666666666667
"610","Cape Alava",2019,"E",10,4,30,"10cm-1m",16,0.533333333333333
"611","Cape Alava",2019,"W",5,1,30,"10cm-1m",21,0.7
"612","Cape Alava",2019,"W",5,2,30,"10cm-1m",6,0.2
"613","Cape Alava",2019,"W",5,3,30,"10cm-1m",8,0.266666666666667
"614","Cape Alava",2019,"W",5,4,30,"10cm-1m",4,0.133333333333333
"615","Cape Alava",2019,"W",10,1,30,"10cm-1m",10,0.333333333333333
"616","Cape Alava",2019,"W",10,2,20,"10cm-1m",16,0.8
"617","Cape Alava",2019,"W",10,3,30,"10cm-1m",27,0.9
"618","Cape Alava",2019,"W",10,4,30,"10cm-1m",27,0.9
"619","Cape Johnson",2016,"1",5,1,30,"10cm-1m",29,0.966666666666667
"620","Cape Johnson",2016,"1",5,2,30,"10cm-1m",30,1
"621","Cape Johnson",2016,"1",5,3,30,"10cm-1m",29,0.966666666666667
"622","Cape Johnson",2016,"1",5,4,30,"10cm-1m",29,0.966666666666667
"623","Cape Johnson",2016,"1",5,5,30,"10cm-1m",28,0.933333333333333
"624","Cape Johnson",2016,"1",5,6,30,"10cm-1m",30,1
"625","Cape Johnson",2016,"1",10,1,30,"10cm-1m",1,0.0333333333333333
"626","Cape Johnson",2016,"1",10,2,30,"10cm-1m",5,0.166666666666667
"627","Cape Johnson",2016,"1",10,3,30,"10cm-1m",19,0.633333333333333
"628","Cape Johnson",2016,"1",10,4,30,"10cm-1m",8,0.266666666666667
"629","Cape Johnson",2016,"1",10,5,30,"10cm-1m",9,0.3
"630","Cape Johnson",2016,"1",10,6,30,"10cm-1m",9,0.3
"631","Cape Johnson",2017,"1",5,1,30,"10cm-1m",1,0.0333333333333333
"632","Cape Johnson",2017,"1",5,2,30,"10cm-1m",3,0.1
"633","Cape Johnson",2017,"1",5,3,30,"10cm-1m",0,0
"634","Cape Johnson",2017,"1",10,1,30,"10cm-1m",7,0.233333333333333
"635","Cape Johnson",2017,"1",10,2,30,"10cm-1m",2,0.0666666666666667
"636","Cape Johnson",2017,"1",10,3,30,"10cm-1m",2,0.0666666666666667
"637","Cape Johnson",2017,"1",10,4,30,"10cm-1m",7,0.233333333333333
"638","Cape Johnson",2017,"2",5,1,30,"10cm-1m",0,0
"639","Cape Johnson",2017,"2",5,2,30,"10cm-1m",0,0
"640","Cape Johnson",2017,"2",5,3,30,"10cm-1m",0,0
"641","Cape Johnson",2017,"2",5,4,30,"10cm-1m",0,0
"642","Cape Johnson",2017,"2",5,5,30,"10cm-1m",0,0
"643","Cape Johnson",2017,"2",10,1,30,"10cm-1m",0,0
"644","Cape Johnson",2017,"2",10,2,30,"10cm-1m",6,0.2
"645","Cape Johnson",2017,"2",10,3,30,"10cm-1m",6,0.2
"646","Cape Johnson",2017,"2",10,4,30,"10cm-1m",6,0.2
"647","Cape Johnson",2018,"N",5,1,30,"10cm-1m",27,0.9
"648","Cape Johnson",2018,"N",5,2,30,"10cm-1m",27,0.9
"649","Cape Johnson",2018,"N",5,3,30,"10cm-1m",30,1
"650","Cape Johnson",2018,"N",5,4,30,"10cm-1m",26,0.866666666666667
"651","Cape Johnson",2018,"N",10,1,30,"10cm-1m",28,0.933333333333333
"652","Cape Johnson",2018,"N",10,2,30,"10cm-1m",26,0.866666666666667
"653","Cape Johnson",2018,"N",10,3,30,"10cm-1m",22,0.733333333333333
"654","Cape Johnson",2018,"S",5,1,30,"10cm-1m",30,1
"655","Cape Johnson",2018,"S",5,2,30,"10cm-1m",28,0.933333333333333
"656","Cape Johnson",2018,"S",5,3,30,"10cm-1m",29,0.966666666666667
"657","Cape Johnson",2018,"S",5,4,30,"10cm-1m",30,1
"658","Cape Johnson",2018,"S",10,1,30,"10cm-1m",30,1
"659","Cape Johnson",2018,"S",10,2,30,"10cm-1m",30,1
"660","Cape Johnson",2018,"S",10,3,30,"10cm-1m",30,1
"661","Cape Johnson",2018,"S",10,4,30,"10cm-1m",30,1
"662","Cape Johnson",2019,"N",5,1,30,"10cm-1m",26,0.866666666666667
"663","Cape Johnson",2019,"N",5,2,30,"10cm-1m",24,0.8
"664","Cape Johnson",2019,"N",5,3,30,"10cm-1m",29,0.966666666666667
"665","Cape Johnson",2019,"N",5,4,30,"10cm-1m",30,1
"666","Cape Johnson",2019,"N",10,1,30,"10cm-1m",15,0.5
"667","Cape Johnson",2019,"N",10,2,30,"10cm-1m",5,0.166666666666667
"668","Cape Johnson",2019,"N",10,3,30,"10cm-1m",2,0.0666666666666667
"669","Cape Johnson",2019,"S",5,1,30,"10cm-1m",27,0.9
"670","Cape Johnson",2019,"S",5,2,30,"10cm-1m",28,0.933333333333333
"671","Cape Johnson",2019,"S",5,3,30,"10cm-1m",30,1
"672","Cape Johnson",2019,"S",5,4,30,"10cm-1m",29,0.966666666666667
"673","Cape Johnson",2019,"S",10,1,30,"10cm-1m",30,1
"674","Cape Johnson",2019,"S",10,2,30,"10cm-1m",30,1
"675","Cape Johnson",2019,"S",10,3,30,"10cm-1m",28,0.933333333333333
"676","Cape Johnson",2019,"S",10,4,30,"10cm-1m",29,0.966666666666667
"677","Destruction Island",2016,"1",5,1,30,"10cm-1m",0,0
"678","Destruction Island",2016,"1",10,1,30,"10cm-1m",30,1
"679","Destruction Island",2016,"1",10,2,30,"10cm-1m",14,0.466666666666667
"680","Destruction Island",2016,"1",10,3,30,"10cm-1m",20,0.666666666666667
"681","Destruction Island",2016,"2",5,1,40,"10cm-1m",0,0
"682","Destruction Island",2016,"2",5,2,30,"10cm-1m",1,0.0333333333333333
"683","Destruction Island",2016,"2",5,3,30,"10cm-1m",2,0.0666666666666667
"684","Destruction Island",2016,"2",10,1,30,"10cm-1m",1,0.0333333333333333
"685","Destruction Island",2016,"2",10,2,30,"10cm-1m",4,0.133333333333333
"686","Destruction Island",2016,"2",10,3,30,"10cm-1m",1,0.0333333333333333
"687","Destruction Island",2017,"1",5,1,30,"10cm-1m",0,0
"688","Destruction Island",2017,"1",5,2,30,"10cm-1m",8,0.266666666666667
"689","Destruction Island",2017,"1",5,3,30,"10cm-1m",16,0.533333333333333
"690","Destruction Island",2017,"1",5,4,30,"10cm-1m",7,0.233333333333333
"691","Destruction Island",2017,"2",5,1,30,"10cm-1m",9,0.3
"692","Destruction Island",2017,"2",5,2,30,"10cm-1m",5,0.166666666666667
"693","Destruction Island",2017,"2",5,3,30,"10cm-1m",10,0.333333333333333
"694","Destruction Island",2017,"2",5,4,30,"10cm-1m",1,0.0333333333333333
"695","Destruction Island",2018,"N",5,1,30,"10cm-1m",13,0.433333333333333
"696","Destruction Island",2018,"N",5,2,30,"10cm-1m",3,0.1
"697","Destruction Island",2018,"N",5,3,30,"10cm-1m",14,0.466666666666667
"698","Destruction Island",2018,"N",5,4,30,"10cm-1m",11,0.366666666666667
"699","Destruction Island",2018,"N",10,1,30,"10cm-1m",10,0.333333333333333
"700","Destruction Island",2018,"N",10,2,30,"10cm-1m",15,0.5
"701","Destruction Island",2018,"N",10,3,30,"10cm-1m",9,0.3
"702","Destruction Island",2018,"S",5,1,30,"10cm-1m",0,0
"703","Destruction Island",2018,"S",5,2,30,"10cm-1m",7,0.233333333333333
"704","Destruction Island",2018,"S",5,3,30,"10cm-1m",0,0
"705","Destruction Island",2018,"S",5,4,30,"10cm-1m",5,0.166666666666667
"706","Destruction Island",2018,"S",10,1,30,"10cm-1m",22,0.733333333333333
"707","Destruction Island",2018,"S",10,2,30,"10cm-1m",23,0.766666666666667
"708","Destruction Island",2018,"S",10,3,30,"10cm-1m",25,0.833333333333333
"709","Destruction Island",2018,"S",10,4,30,"10cm-1m",28,0.933333333333333
"710","Destruction Island",2019,"N",5,1,30,"10cm-1m",11,0.366666666666667
"711","Destruction Island",2019,"N",5,2,30,"10cm-1m",4,0.133333333333333
"712","Destruction Island",2019,"N",5,3,30,"10cm-1m",10,0.333333333333333
"713","Destruction Island",2019,"N",5,4,30,"10cm-1m",14,0.466666666666667
"714","Destruction Island",2019,"N",10,1,30,"10cm-1m",10,0.333333333333333
"715","Destruction Island",2019,"N",10,2,30,"10cm-1m",13,0.433333333333333
"716","Destruction Island",2019,"N",10,3,30,"10cm-1m",21,0.7
"717","Destruction Island",2019,"N",10,4,30,"10cm-1m",22,0.733333333333333
"718","Destruction Island",2019,"S",5,1,30,"10cm-1m",18,0.6
"719","Destruction Island",2019,"S",5,2,30,"10cm-1m",9,0.3
"720","Destruction Island",2019,"S",5,3,30,"10cm-1m",19,0.633333333333333
"721","Destruction Island",2019,"S",5,4,30,"10cm-1m",11,0.366666666666667
"722","Destruction Island",2019,"S",10,1,30,"10cm-1m",16,0.533333333333333
"723","Destruction Island",2019,"S",10,2,30,"10cm-1m",10,0.333333333333333
"724","Destruction Island",2019,"S",10,3,30,"10cm-1m",20,0.666666666666667
"725","Destruction Island",2019,"S",10,4,30,"10cm-1m",14,0.466666666666667
"726","Neah Bay",2016,"1",5,1,30,"10cm-1m",10,0.333333333333333
"727","Neah Bay",2016,"1",5,2,30,"10cm-1m",20,0.666666666666667
"728","Neah Bay",2016,"1",5,3,30,"10cm-1m",13,0.433333333333333
"729","Neah Bay",2016,"1",5,4,30,"10cm-1m",18,0.6
"730","Neah Bay",2016,"1",10,1,30,"10cm-1m",2,0.0666666666666667
"731","Neah Bay",2016,"1",10,2,30,"10cm-1m",1,0.0333333333333333
"732","Neah Bay",2016,"1",10,3,30,"10cm-1m",4,0.133333333333333
"733","Neah Bay",2016,"1",10,4,30,"10cm-1m",20,0.666666666666667
"734","Neah Bay",2016,"1",10,5,30,"10cm-1m",21,0.7
"735","Neah Bay",2016,"1",10,6,30,"10cm-1m",6,0.2
"736","Neah Bay",2017,"1",5,1,30,"10cm-1m",28,0.933333333333333
"737","Neah Bay",2017,"1",5,2,30,"10cm-1m",28,0.933333333333333
"738","Neah Bay",2017,"1",5,3,30,"10cm-1m",24,0.8
"739","Neah Bay",2017,"1",5,4,30,"10cm-1m",27,0.9
"740","Neah Bay",2017,"1",10,1,30,"10cm-1m",25,0.833333333333333
"741","Neah Bay",2017,"1",10,2,30,"10cm-1m",14,0.466666666666667
"742","Neah Bay",2017,"1",10,3,30,"10cm-1m",11,0.366666666666667
"743","Neah Bay",2017,"1",10,4,30,"10cm-1m",9,0.3
"744","Neah Bay",2017,"2",5,1,30,"10cm-1m",26,0.866666666666667
"745","Neah Bay",2017,"2",5,2,30,"10cm-1m",28,0.933333333333333
"746","Neah Bay",2017,"2",5,3,30,"10cm-1m",30,1
"747","Neah Bay",2017,"2",5,4,30,"10cm-1m",19,0.633333333333333
"748","Neah Bay",2017,"2",10,1,30,"10cm-1m",17,0.566666666666667
"749","Neah Bay",2017,"2",10,2,30,"10cm-1m",11,0.366666666666667
"750","Neah Bay",2017,"2",10,3,30,"10cm-1m",21,0.7
"751","Neah Bay",2017,"2",10,4,30,"10cm-1m",16,0.533333333333333
"752","Neah Bay",2018,"N",5,1,30,"10cm-1m",21,0.7
"753","Neah Bay",2018,"N",5,2,30,"10cm-1m",22,0.733333333333333
"754","Neah Bay",2018,"N",5,3,30,"10cm-1m",24,0.8
"755","Neah Bay",2018,"N",5,4,30,"10cm-1m",20,0.666666666666667
"756","Neah Bay",2018,"N",10,1,30,"10cm-1m",30,1
"757","Neah Bay",2018,"N",10,2,30,"10cm-1m",30,1
"758","Neah Bay",2018,"N",10,3,30,"10cm-1m",30,1
"759","Neah Bay",2018,"N",10,4,30,"10cm-1m",27,0.9
"760","Neah Bay",2018,"S",5,1,30,"10cm-1m",17,0.566666666666667
"761","Neah Bay",2018,"S",5,2,30,"10cm-1m",27,0.9
"762","Neah Bay",2018,"S",5,3,30,"10cm-1m",26,0.866666666666667
"763","Neah Bay",2018,"S",10,1,30,"10cm-1m",23,0.766666666666667
"764","Neah Bay",2018,"S",10,2,30,"10cm-1m",14,0.466666666666667
"765","Neah Bay",2018,"S",10,3,30,"10cm-1m",24,0.8
"766","Neah Bay",2018,"S",10,4,30,"10cm-1m",22,0.733333333333333
"767","Neah Bay",2019,"N",5,1,30,"10cm-1m",27,0.9
"768","Neah Bay",2019,"N",5,2,30,"10cm-1m",18,0.6
"769","Neah Bay",2019,"N",5,3,30,"10cm-1m",12,0.4
"770","Neah Bay",2019,"N",10,1,30,"10cm-1m",15,0.5
"771","Neah Bay",2019,"N",10,2,30,"10cm-1m",28,0.933333333333333
"772","Neah Bay",2019,"N",10,3,30,"10cm-1m",28,0.933333333333333
"773","Neah Bay",2019,"N",10,4,30,"10cm-1m",30,1
"774","Neah Bay",2019,"S",5,1,30,"10cm-1m",14,0.466666666666667
"775","Neah Bay",2019,"S",5,2,30,"10cm-1m",23,0.766666666666667
"776","Neah Bay",2019,"S",5,3,30,"10cm-1m",18,0.6
"777","Neah Bay",2019,"S",5,4,30,"10cm-1m",4,0.133333333333333
"778","Neah Bay",2019,"S",10,1,30,"10cm-1m",18,0.6
"779","Neah Bay",2019,"S",10,2,31,"10cm-1m",15,0.483870967741935
"780","Neah Bay",2019,"S",10,3,30,"10cm-1m",26,0.866666666666667
"781","Neah Bay",2019,"S",10,4,30,"10cm-1m",20,0.666666666666667
"782","Tatoosh Island",2016,"1",5,1,30,"10cm-1m",0,0
"783","Tatoosh Island",2016,"1",5,2,30,"10cm-1m",5,0.166666666666667
"784","Tatoosh Island",2016,"1",5,3,30,"10cm-1m",0,0
"785","Tatoosh Island",2016,"1",5,4,30,"10cm-1m",0,0
"786","Tatoosh Island",2016,"1",5,5,30,"10cm-1m",0,0
"787","Tatoosh Island",2016,"1",5,6,30,"10cm-1m",1,0.0333333333333333
