entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,HEADING,DEPTH (M),DEPTH (FT),SEGMENT,CATEGORY,CLASSCODE,COUNT,Cntrl a,notes,problems,,,,,,,,,,,,,,,,,,,,
2284,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,10-20m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
2285,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,10-20m,COVER,COLTUN,2,,,,,,,,,,,,,,,,,,,,,,,
2286,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,10-20m,COVER,BRYO,2,,,,,,,,,,,,,,,,,,,,,,,
2287,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,20-30m,COVER,BRANCH,4,,,,,,,,,,,,,,,,,,,,,,,
2288,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,20-30m,COVER,LEAFYRED,4,,,,,,,,,,,,,,,,,,,,,,,
2289,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,20-30m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2290,2017,8,2,Cape Alava,Steve Lonhart,Nick Tolimieri,2,5,4,,,23,20-30m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
2291,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,0-10m,SUBSTRATE,BOULD,7,,,,,,,,,,,,,,,,,,,,,,,
2292,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,0-10m,SUBSTRATE,COB,3,,,,,,,,,,,,,,,,,,,,,,,
2293,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,10-20m,SUBSTRATE,BOULD,9,,,,,,,,,,,,,,,,,,,,,,,
2294,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,10-20m,SUBSTRATE,COB,1,,,,,,,,,,,,,,,,,,,,,,,
2295,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,20-30m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2296,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,0-10m,RELIEF,0-10cm,10,,,,,,,,,,,,,,,,,,,,,,,
2297,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,10-20m,RELIEF,0-10cm,2,,,,,,,,,,,,,,,,,,,,,,,
2298,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,10-20m,RELIEF,10cm-1m,8,,,,,,,,,,,,,,,,,,,,,,,
2299,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,20-30m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
2300,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,0-10m,COVER,LEAFYRED,7,,,,,,,,,,,,,,,,,,,,,,,
2301,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,0-10m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
2302,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,0-10m,COVER,BARROC,1,,,,,,,,,,,,,,,,,,,,,,,
2303,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,10-20m,COVER,LEAFYRED,9,,,,,,,,,,,,,,,,,,,,,,,
2304,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,10-20m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2305,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,20-30m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
2306,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,20-30m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2307,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,1,,,32,20-30m,COVER,COLTUN,3,,,,,,,,,,,,,,,,,,,,,,,
2308,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,0-10m,SUBSTRATE,BOULD,9,,,,,,,,,,,,,,,,,,,,,,,
2309,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,0-10m,SUBSTRATE,COB,1,,,,,,,,,,,,,,,,,,,,,,,
2310,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,SUBSTRATE,BOULD,8,,,,,,,,,,,,,,,,,,,,,,,
2311,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,SUBSTRATE,SAND,2,,,,,,,,,,,,,,,,,,,,,,,
2312,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,SUBSTRATE,BOULD,1,,,,,,,,,,,,,,,,,,,,,,,
2313,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,SUBSTRATE,COB,9,,,,,,,,,,,,,,,,,,,,,,,
2314,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,0-10m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
2315,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,RELIEF,0-10cm,2,,,,,,,,,,,,,,,,,,,,,,,
2316,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,RELIEF,10cm-1m,8,,,,,,,,,,,,,,,,,,,,,,,
2317,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,RELIEF,10cm-1m,9,,,,,,,,,,,,,,,,,,,,,,,
2318,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,RELIEF,1m-2m,1,,,,,,,,,,,,,,,,,,,,,,,
2319,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,0-10m,COVER,BRANCH,3,,,,,,,,,,,,,,,,,,,,,,,
2320,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,0-10m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
2321,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,0-10m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2322,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,COVER,BARSAN,2,,,,,,,,,,,,,,,,,,,,,,,
2323,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,COVER,BRANCH,2,,,,,,,,,,,,,,,,,,,,,,,
2324,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,COVER,LEAFYRED,5,,,,,,,,,,,,,,,,,,,,,,,
2325,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,10-20m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2326,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,COVER,BRANCH,1,,,,,,,,,,,,,,,,,,,,,,,
2327,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,COVER,CRUCOR,8,,,,,,,,,,,,,,,,,,,,,,,
2328,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,2,,,35,20-30m,COVER,HYDROID,1,,,,,,,,,,,,,,,,,,,,,,,
2329,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,SUBSTRATE,BOULD,9,,,,,,,,,,,,,,,,,,,,,,,
2330,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,SUBSTRATE,COB,1,,,,,,,,,,,,,,,,,,,,,,,
2331,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,SUBSTRATE,BOULD,8,,,,,,,,,,,,,,,,,,,,,,,
2332,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,SUBSTRATE,SAND,2,,,,,,,,,,,,,,,,,,,,,,,
2333,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,20-30m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2334,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
2335,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,RELIEF,0-10cm,1,,,,,,,,,,,,,,,,,,,,,,,
2336,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,RELIEF,10cm-1m,9,,,,,,,,,,,,,,,,,,,,,,,
2337,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,20-30m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
2338,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,COVER,LEAFYRED,5,,,,,,,,,,,,,,,,,,,,,,,
2339,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
2340,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,COVER,SPONGE,2,,,,,,,,,,,,,,,,,,,,,,,
2341,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,0-10m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2342,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,COVER,BARSAN,1,,,,,,,,,,,,,,,,,,,,,,,
2343,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
2344,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2345,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,COVER,NEREO_HF,1,,,,,,,,,,,,,,,,,,,,,,,
2346,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,10-20m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
2347,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,20-30m,COVER,LEAFYRED,9,,,,,,,,,,,,,,,,,,,,,,,
2348,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,3,,,33,20-30m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2349,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,0-10m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2350,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,10-20m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2351,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2352,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,0-10m,RELIEF,10cm-1m,6,,,,,,,,,,,,,,,,,,,,,,,
2353,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,0-10m,RELIEF,1m-2m,4,,,,,,,,,,,,,,,,,,,,,,,
2354,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,10-20m,RELIEF,10cm-1m,2,,,,,,,,,,,,,,,,,,,,,,,
2355,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,10-20m,RELIEF,1m-2m,8,,,,,,,,,,,,,,,,,,,,,,,
2356,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,RELIEF,10cm-1m,2,,,,,,,,,,,,,,,,,,,,,,,
2357,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,RELIEF,1m-2m,8,,,,,,,,,,,,,,,,,,,,,,,
2358,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,0-10m,COVER,LEAFYRED,7,,,,,,,,,,,,,,,,,,,,,,,
2359,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,0-10m,COVER,BROWNUN,2,,,,,,,,,,,,,,,,,,,,,,,
2360,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,0-10m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2361,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,10-20m,COVER,LEAFYRED,8,,,,,,,,,,,,,,,,,,,,,,,
2362,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,10-20m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2363,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,10-20m,COVER,SPONGE,1,,,,,,,,,,,,,,,,,,,,,,,
2364,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,COVER,BRANCH,2,,,,,,,,,,,,,,,,,,,,,,,
2365,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
2366,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2367,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,4,,,30,20-30m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2368,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,0-10m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2369,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2370,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2371,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,0-10m,RELIEF,10cm-1m,6,,,,,,,,,,,,,,,,,,,,,,,
2372,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,0-10m,RELIEF,1m-2m,4,,,,,,,,,,,,,,,,,,,,,,,
2373,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,RELIEF,10cm-1m,5,,,,,,,,,,,,,,,,,,,,,,,
2374,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,RELIEF,1m-2m,5,,,,,,,,,,,,,,,,,,,,,,,
2375,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,RELIEF,10cm-1m,5,,,,,,,,,,,,,,,,,,,,,,,
2376,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,RELIEF,1m-2m,5,,,,,,,,,,,,,,,,,,,,,,,
2377,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,0-10m,COVER,BRANCH,2,,,,,,,,,,,,,,,,,,,,,,,
2378,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,0-10m,COVER,LEAFYRED,7,,,,,,,,,,,,,,,,,,,,,,,
2379,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,0-10m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2380,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,COVER,BRANCH,1,,,,,,,,,,,,,,,,,,,,,,,
2381,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
2382,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2383,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
2384,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,10-20m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2385,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,COVER,BRANCH,1,,,,,,,,,,,,,,,,,,,,,,,
2386,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,COVER,LEAFYRED,5,,,,,,,,,,,,,,,,,,,,,,,
2387,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2388,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,COVER,BROWNUN,1,,,,,,,,,,,,,,,,,,,,,,,
2389,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,COVER,SPONGE,1,,,,,,,,,,,,,,,,,,,,,,,
2390,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,5,,,26,20-30m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2391,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,0-10m,SUBSTRATE,BOULD,10,,,,,,,,,,,,,,,,,,,,,,,
2392,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,SUBSTRATE,BOULD,8,,,,,,,,,,,,,,,,,,,,,,,
2393,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,SUBSTRATE,COB,2,,,,,,,,,,,,,,,,,,,,,,,
2394,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,SUBSTRATE,BOULD,8,,,,,,,,,,,,,,,,,,,,,,,
2395,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,SUBSTRATE,COB,2,,,,,,,,,,,,,,,,,,,,,,,
2396,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,0-10m,RELIEF,10cm-1m,3,,,,,,,,,,,,,,,,,,,,,,,
2397,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,0-10m,RELIEF,1m-2m,7,,,,,,,,,,,,,,,,,,,,,,,
2398,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,RELIEF,10cm-1m,2,,,,,,,,,,,,,,,,,,,,,,,
2399,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,RELIEF,1m-2m,8,,,,,,,,,,,,,,,,,,,,,,,
2400,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,RELIEF,10cm-1m,1,,,,,,,,,,,,,,,,,,,,,,,
2401,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,RELIEF,1m-2m,9,,,,,,,,,,,,,,,,,,,,,,,
2402,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,0-10m,COVER,LEAFYRED,8,,,,,,,,,,,,,,,,,,,,,,,
2403,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,0-10m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2404,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,0-10m,COVER,HYDROID,1,,,,,,,,,,,,,,,,,,,,,,,
2405,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,COVER,BRANCH,1,,,,,,,,,,,,,,,,,,,,,,,
2406,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,COVER,LEAFYRED,4,,,,,,,,,,,,,,,,,,,,,,,
2407,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,COVER,ENCRED,1,,,,,,,,,,,,,,,,,,,,,,,
2408,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,COVER,CRUCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2409,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,COVER,COLTUN,2,,,,,,,,,,,,,,,,,,,,,,,
2410,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,10-20m,COVER,HYDROID,1,,,,,,,,,,,,,,,,,,,,,,,
2411,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,COVER,BRANCH,2,,,,,,,,,,,,,,,,,,,,,,,
2412,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,COVER,LEAFYRED,6,,,,,,,,,,,,,,,,,,,,,,,
2413,2017,8,2,Cape Alava,Kinsey Frick,Kelly Andrews,1,10,6,,,29,20-30m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
2414,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
2415,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,SUBSTRATE,BEDRK,9,,,,,,,,,,,,,,,,,,,,,,,
2416,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,SUBSTRATE,SAND,1,,,,,,,,,,,,,,,,,,,,,,,
2417,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
2418,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,RELIEF,10cm-1m,10,,,,,,,,,,,,,,,,,,,,,,,
2419,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,RELIEF,10cm-1m,3,,,,,,,,,,,,,,,,,,,,,,,
2420,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,RELIEF,1m-2m,3,,,,,,,,,,,,,,,,,,,,,,,
2421,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,RELIEF,>2m,4,,,,,,,,,,,,,,,,,,,,,,,
2422,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,RELIEF,1m-2m,6,,,,,,,,,,,,,,,,,,,,,,,
2423,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,RELIEF,>2m,4,,,,,,,,,,,,,,,,,,,,,,,
2424,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,COVER,BRANCH,3,,,,,,,,,,,,,,,,,,,,,,,
2425,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,COVER,LEAFYRED,3,,,,,,,,,,,,,,,,,,,,,,,
2426,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,COVER,ARTCOR,2,,,,,,,,,,,,,,,,,,,,,,,
2427,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2428,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,0-10m,COVER,HYDROID,1,,,,,,,,,,,,,,,,,,,,,,,
2429,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,COVER,BARSAN,1,,,,,,,,,,,,,,,,,,,,,,,
2430,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,COVER,BRANCH,3,,,,,,,,,,,,,,,,,,,,,,,
2431,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,COVER,LEAFYRED,2,,,,,,,,,,,,,,,,,,,,,,,
2432,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
2433,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,COVER,ARTCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2434,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,10-20m,COVER,SPONGE,1,,,,,,,,,,,,,,,,,,,,,,,
2435,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,COVER,BRANCH,3,,,,,,,,,,,,,,,,,,,,,,,
2436,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,COVER,ENCRED,2,,,,,,,,,,,,,,,,,,,,,,,
2437,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,COVER,CRUCOR,2,,,,,,,,,,,,,,,,,,,,,,,
2438,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,COVER,ARTCOR,1,,,,,,,,,,,,,,,,,,,,,,,
2439,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,COVER,BARNAC,1,,,,,,,,,,,,,,,,,,,,,,,
2440,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,1,,,30,20-30m,COVER,COLTUN,1,,,,,,,,,,,,,,,,,,,,,,,
2441,2017,8,3,Tatoosh Island,Kinsey Frick,Jameal Samhouri,1,10,2,,,27,0-10m,SUBSTRATE,BEDRK,10,,,,,,,,,,,,,,,,,,,,,,,
