Site,Date,Observer,Transect,Quadrat,Quadrat.loc,Depth.ft,Species,Count,Size.cm,Percent.cover,Categorical.abundance,Notes,Transect area (inverts),Transect area (fish),Transect area (stipes),"Echinoderm size (TD, TR, BD, BR; T=Total, B=Basal, D=Diameter, R=Radius, L=length)",,,,,,,,,
Tatoosh Island,8/6/15,GW,NA,NA,NA,NA,Cormorant,6,NA,NA,NA,,,,,,,,,,,,,,
Tatoosh Island,8/6/15,GW,NA,NA,NA,NA,Common murre,20,NA,NA,NA,,,,,,,,,,,,,,
Tatoosh Island,8/6/15,GW,NA,NA,NA,NA,Pigeon guilemot,2,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,Cucumaria,1,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,Henricia leviuscula,3,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,Anthopleura xanthogrammica,2,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,Dermasterias,4,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,Rock greenling,1,14,NA,NA,,,60,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,sculpin,2,6,NA,NA,,,60,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,YOY rockfish (black dorsal spots),1,7,NA,NA,black dorsal spot,,60,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Buffalo sculpin,1,20,NA,NA,,,60,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,sculpin,1,6,NA,NA,,,60,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,YOY rockfish (black dorsal spots),3,6,NA,NA,black dorsal spot,,60,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Henricia leviuscula,1,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Anthopleura xanthogrammica,7,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Dermasterias,2,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Montereina nobilis,2,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Doris odhneri,1,NA,NA,NA,,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,NA,NA,NA,Mysids,NA,NA,NA,VA,Thick clouds at this site,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Mysids,NA,NA,NA,VA,Thick clouds at this site,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,NA,NA,NA,Amphipods,NA,NA,NA,A,Associated with wood detritus,60,,,BD,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,Foliose red algae,NA,NA,70,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,coralline algae,NA,NA,10,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,Snail,1,2,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,Snail,3,0.5,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,Limpet,1,5,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,Seastar,2,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,1,3,18,Henricia leviuscula,2,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,Styela,2,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,Snail,2,2,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,Ceratostoma,1,5,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,Pugettia gracilis,1,4,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,Nucella spp.,3,1,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,Foliose red algae,NA,NA,50,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,2,10,19,coralline algae,NA,NA,10,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,3,19,23,Foliose red algae,NA,NA,5,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,3,19,23,Rock,NA,NA,80,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,3,19,23,Pandalus danae,7,5,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,3,19,23,Nucella spp.,5,0.5,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,3,19,23,Tegula,4,0.5,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,3,19,23,Triophe catalinidae,2,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,4,24,25,Foliose red algae,NA,NA,10,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,4,24,25,Cobble,NA,NA,80,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,4,24,25,Nucella spp.,2,1,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,1,4,24,25,Cancer oregonensis,2,3,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,1,4,24,kelp,NA,NA,5,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,1,4,24,Cobble,NA,NA,90,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,1,4,24,Nucella spp.,1,2,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,1,4,24,Anthopleura xanthogrammica,1,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,1,4,24,Cancer oregonensis,1,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,2,15,37,Gravel,NA,NA,50,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,2,15,37,Mud,NA,NA,50,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,3,19,34,Cobble,NA,NA,50,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,3,19,34,Mud,NA,NA,50,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,4,29,31,Cobble,NA,NA,100,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,GW,2,4,29,31,Ceratostoma,3,5,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,HJ,NA,NA,NA,NA,Sea otter,12,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,HJ,NA,NA,NA,NA,Harbor seal,43,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,HJ,NA,NA,NA,NA,California sea lion,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,HJ,NA,NA,NA,NA,Gull,13,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,HJ,NA,NA,NA,NA,Cormorant,2,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,HJ,NA,NA,NA,NA,Common murre,11,NA,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,HJ,NA,NA,NA,NA,Gull,30,NA,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,HJ,NA,NA,NA,NA,Cormorant,10,NA,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,HJ,NA,NA,NA,NA,Common murre,9,NA,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,HJ,NA,NA,NA,NA,California sea lion,3,NA,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,HJ,NA,NA,NA,NA,Harbor seal,3,NA,NA,NA,,,,,,,,,,,,,,
Rock 305,8/4/15,HJ,NA,NA,NA,NA,Sea otter,1,NA,NA,NA,,,,,,,,,,,,,,
Rock 305,8/4/15,HJ,NA,NA,NA,NA,California sea lion,5,NA,NA,NA,,,,,,,,,,,,,,
Rock 305,8/4/15,HJ,NA,NA,NA,NA,Oystercatcher,7,NA,NA,NA,,,,,,,,,,,,,,
Rock 305,8/4/15,HJ,NA,NA,NA,NA,Bald eagle,1,NA,NA,NA,,,,,,,,,,,,,,
Rock 305,8/4/15,HJ,NA,NA,NA,NA,Cormorant,4,NA,NA,NA,,,,,,,,,,,,,,
Rock 305,8/4/15,HJ,NA,NA,NA,NA,Gull,25,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,Common murre,30,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,Crow,3,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,Gull,3,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,Bald eagle,1,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,Cormorant,1,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,California sea lion,1,NA,NA,NA,,,,,,,,,,,,,,
Teahwhit Head,8/3/15,HJ,NA,NA,NA,NA,Harbor seal,4,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,1,7,19,Foliose red algae,NA,NA,80,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,1,7,19,Cobble,NA,NA,5,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,1,7,19,Rock with barnacles,NA,NA,15,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,1,7,19,Ceratostoma,1,8,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,1,7,19,feather duster worm,1,1,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,1,7,19,Nucella spp.,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,2,14,21,Nereocystis luetkeana,NA,NA,100,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,2,14,21,Kelp clingfish,4,5,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,Foliose red algae,NA,NA,75,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,Rock with barnacles,NA,NA,25,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,sculpin,1,8,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,lightbulb tunicate,6,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,Sponge,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,Nucella spp.,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,hermit crab,1,6,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,3,21,16,orange cup coral,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,4,28,17,Foliose red algae,NA,NA,99,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,4,28,17,Rock,NA,NA,1,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,4,28,17,Calliostoma,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,4,28,17,lightbulb tunicate,8,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,4,28,17,Sponge,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Foliose red algae,NA,NA,5,NA,"I called this ""foliose red"" on 8/3/15",,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Pleurophycus gardneri,NA,NA,5,NA,recorded on slate as Alaria,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Coralline encrusting,NA,NA,20,NA,CCA on cobble,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Coralline encrusting,NA,NA,50,NA,CCA on rock,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Shell hash,NA,NA,20,NA,Sand shell hash,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,sculpin,2,5,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,sculpin,2,7.5,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Mosshead warbonnet,1,10,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,lightbulb tunicate,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,orange cup coral,4,1,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Mopalia lignosa,1,5,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,bat star,1,10,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Scyra acutifrons,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,1,7,19,Scyra acutifrons,1,4,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,Foliose red algae,NA,NA,90,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,Rock,NA,NA,10,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,Bittium,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,orange cup coral,2,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,lightbulb tunicate,8,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,Sponge,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,Pisaster,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,2,14,17,Balanus nubilus,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Foliose red algae,NA,NA,80,NA,including Erythrophyllum,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Pterygophora californica,NA,NA,15,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Rock,NA,NA,5,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Nucella spp.,3,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Ceratostoma,1,6,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Pisaster,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Amphissa,1,2,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,3,21,15,Balanus nubilus,1,3,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,4,28,16,Foliose red algae,NA,NA,95,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,4,28,16,Pterygophora californica,NA,NA,5,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,4,28,16,lightbulb tunicate,25,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,4,28,16,Nucella spp.,1,3,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,4,28,16,Sponge,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,Black rockfish,1,30,NA,NA,,,60,,,,,,,,,,,
Cape Alava,8/5/15,JS,2,NA,NA,NA,Black rockfish,4,30,NA,NA,,,60,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,Kelp greenling,1,20,NA,NA,,,60,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,Rock greenling,1,15,NA,NA,,,60,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,surfperch,1,10,NA,NA,,,60,,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,Nereocystis luetkeana stipes,6,NA,NA,NA,,,,30,,,,,,,,,,
Cape Alava,8/5/15,JS,2,NA,NA,NA,Nereocystis luetkeana stipes,10,NA,NA,NA,,,,30,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,Pterygophora californica stipes,38,NA,NA,NA,,,,30,,,,,,,,,,
Cape Alava,8/5/15,JS,2,NA,NA,NA,Pterygophora californica stipes,45,NA,NA,NA,,,,30,,,,,,,,,,
Cape Alava,8/5/15,JS,1,NA,NA,NA,Saccharina dentigera,2,NA,NA,NA,,,,30,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,NA,NA,NA,Macrocystis pyrifera stipes,147,NA,NA,NA,,,,30,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,NA,NA,NA,Pterygophora californica stipes,59,NA,NA,NA,,,,30,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,NA,NA,NA,Nereocystis luetkeana stipes,37,NA,NA,NA,,,,30,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,1,6.5,16,Foliose red algae,NA,NA,30,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,1,6.5,16,Coralline encrusting,NA,NA,50,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,1,6.5,16,Rock,NA,NA,20,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,1,6.5,16,Calliostoma,1,2,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,1,6.5,16,Myxicola infundibulum,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,2,14,14,Foliose red algae,NA,NA,15,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,2,14,14,Coralline encrusting,NA,NA,85,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,2,14,14,Calliostoma,15,2,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,2,14,14,hermit crab,1,2,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,2,14,14,Mopalia lignosa,1,5,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,3,21,15,Foliose red algae,NA,NA,10,NA,also known as feathery red or branched red,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,3,21,15,Foliose red algae,NA,NA,55,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,3,21,15,Cobble,NA,NA,35,NA,cobble with shell hash,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,3,21,15,Calliostoma,2,2,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,3,21,15,Pisaster,1,2,NA,NA,cutest sea star ever,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,4,28,13,Foliose red algae,NA,NA,70,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,4,28,13,Macrocystis pyrifera,NA,NA,10,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,4,28,13,Coralline encrusting,NA,NA,20,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,4,28,13,Mopalia lignosa,1,3,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,4,28,13,Nucella spp.,1,2,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,1,6.7,15,Foliose red algae,NA,NA,75,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,1,6.7,15,Coralline encrusting,NA,NA,25,NA,cobble with CCA,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,1,6.7,15,Myxicola infundibulum,1,NA,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,1,6.7,15,Pisaster,1,2,NA,NA,cutest sea star ever,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,1,6.7,15,Calliostoma,2,2,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,2,14,16,Phyllospadix,NA,NA,10,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,2,14,16,Foliose red algae,NA,NA,70,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,2,14,16,Coralline encrusting,NA,NA,20,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,2,14,16,Pisaster,1,2,NA,NA,cutest sea star ever,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,2,14,16,NA,NA,NA,NA,NA,difficult to survey; definitely no big animals,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,3,21,14,Foliose red algae,NA,NA,50,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,3,21,14,Coralline encrusting,NA,NA,35,NA,cobble with CCA,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,3,21,14,Coralline encrusting,NA,NA,15,NA,rock with CCA,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,3,21,14,Sponge,1,3,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,3,21,14,Calliostoma,8,23,NA,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,4,28,15,Saccharina dentigera,NA,NA,10,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,4,28,15,Foliose red algae,NA,NA,75,NA,probably Cryptopleura spp.,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,4,28,15,cobble,NA,NA,15,NA,,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,4,28,15,NA,NA,NA,NA,NA,difficult to survey; definitely no big animals,,,,,,,,,,,,,
Cape Johnson,8/4/15,JS,1,NA,NA,NA,Kelp greenling,0,NA,NA,NA,No fish (added by GW later),,60,,,,,,,,,,,
Cape Johnson,8/4/15,JS,2,NA,NA,NA,Kelp greenling,0,NA,NA,NA,No fish (added by GW later),,60,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,2,20,16,Pterygophora californica,NA,NA,10,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,2,20,16,Alaria marginata,NA,NA,20,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,2,20,16,Foliose red algae,NA,NA,10,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,2,20,16,Rock with barnacles,NA,NA,50,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,2,20,16,Macrocystis pyrifera,NA,NA,10,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Alaria marginata,NA,NA,50,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Foliose red algae,NA,NA,20,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Rock with barnacles,NA,NA,30,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Dermasterias,2,8,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Henricia leviuscula,1,5,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Calliostoma,1,3,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Pisaster,1,2,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Pisaster,1,12,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Ceratostoma,2,3,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Ceratostoma,1,6,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Mopalia spp.,2,4,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,3,25,18,Cancer oregonensis,1,3,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Saccharina dentigera,NA,NA,33,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Alaria marginata,NA,NA,33,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Foliose red algae,NA,NA,25,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Rock with barnacles,NA,NA,9,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Ceratostoma,8,5,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Ceratostoma,1,7,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Pisaster,1,2,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,4,27,18,Henricia leviuscula,1,5,NA,NA,,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,NA,NA,NA,Nereocystis luetkeana stipes,19,NA,NA,NA,"38 stipes over 10m2; roughly even Nereo and Pterygophora, with some Macrocystis",,,10,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,NA,NA,NA,Pterygophora californica stipes,19,NA,NA,NA,"38 stipes over 10m2; roughly even Nereo and Pterygophora, with some Macrocystis",,,10,,,,,,,,,,
Destruction Island SW,8/3/15,JS,2,NA,NA,NA,Macrocystis pyrifera stipes,3,NA,NA,NA,"38 stipes over 10m2; roughly even Nereo and Pterygophora, with some Macrocystis",,,10,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Evasterias,NA,NA,NA,A,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Dermasterias,NA,NA,NA,C,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Henricia leviuscula,NA,NA,NA,P,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Pisaster,NA,NA,NA,P,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Metridium,NA,NA,NA,A,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Styela,NA,NA,NA,A,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Metandrocarpa,NA,NA,NA,A,Qualitative,,,,,,,,,,,,,
Destruction Island SW,8/3/15,JS,NA,NA,NA,NA,Anthopleura xanthogrammica,NA,NA,NA,A,Qualitative,,,,,,,,,,,,,
