Year,Site,Region,Count.Independent,Count.Pups,Count.Total,Site code for analysis,Notes
1999,Sand Point,Central,NA,NA,36,Other_Central,
1999,Sandy Island,Central,NA,NA,4,Other_Central,
1999,Submarine Rock,Central,NA,NA,0,Other_Central,
1999,White Rock,Central,NA,NA,1,Other_Central,
1999,Yellow B Area,Central,NA,NA,18,Other_Central,
2000,Carroll Island,Central,NA,NA,1,Other_Central,
2000,Cedar Creek,Central,NA,NA,42,Other_Central,
2000,Jagged Island,Central,NA,NA,16,Other_Central,
2000,James Island,Central,NA,NA,1,Other_Central,
2000,Kayostla Beach,Central,NA,NA,0,Other_Central,
2000,North Point,Central,NA,NA,0,Other_Central,
2000,Off Yellow B,Central,NA,NA,0,Other_Central,
2000,Sand Point,Central,NA,NA,15,Other_Central,
2000,Sandy Island,Central,NA,NA,0,Other_Central,
2000,Submarine Rock,Central,NA,NA,0,Other_Central,
2000,White Rock,Central,NA,NA,0,Other_Central,
2000,Yellow B Area,Central,NA,NA,34,Other_Central,
2001,Carroll Island,Central,0,0,0,Other_Central,
2001,Cedar Creek,Central,28,5,33,Other_Central,
2001,Jagged Island,Central,0,0,0,Other_Central,
2001,James Island,Central,NA,NA,0,Other_Central,
2001,Kayostla Beach,Central,1,0,1,Other_Central,
2001,North Point,Central,NA,NA,0,Other_Central,
2001,Off Yellow B,Central,NA,NA,0,Other_Central,
2001,Sand Point,Central,44,7,51,Other_Central,
2001,Sandy Island,Central,1,0,1,Other_Central,
2001,Submarine Rock,Central,NA,NA,0,Other_Central,
2001,White Rock,Central,10,1,11,Other_Central,
2001,Yellow B Area,Central,26,2,28,Other_Central,
2002,Carroll Island,Central,NA,NA,0,Other_Central,
2002,Cedar Creek,Central,30,0,30,Other_Central,
2002,Jagged Island,Central,7,0,7,Other_Central,
2002,James Island,Central,NA,NA,0,Other_Central,
2002,Kayostla Beach,Central,NA,NA,0,Other_Central,
2002,North Point,Central,NA,NA,0,Other_Central,
2002,Off Yellow B,Central,NA,NA,0,Other_Central,
2002,Sand Point,Central,16,1,17,Other_Central,
2002,Sandy Island,Central,1,0,1,Other_Central,
2002,Submarine Rock,Central,NA,NA,0,Other_Central,
2002,White Rock,Central,5,1,6,Other_Central,
2002,Yellow B Area,Central,25,0,25,Other_Central,
2003,Carroll Island,Central,NA,NA,0,Other_Central,
2003,Cedar Creek,Central,20,1,21,Other_Central,
2003,Jagged Island,Central,NA,NA,0,Other_Central,
2003,James Island,Central,NA,NA,0,Other_Central,
2003,Kayostla Beach,Central,1,0,1,Other_Central,also called North Kayostla Beach
2003,North Point,Central,NA,NA,0,Other_Central,
2003,Off Yellow B,Central,NA,NA,0,Other_Central,
2003,Sand Point,Central,21,1,22,Other_Central,
2003,Sandy Island,Central,9,1,10,Other_Central,
2003,Submarine Rock,Central,NA,NA,0,Other_Central,
2003,White Rock,Central,1,0,1,Other_Central,
2003,Yellow B Area,Central,23,2,25,Other_Central,
2004,Carroll Island,Central,NA,NA,0,Other_Central,
2004,Cedar Creek,Central,35,1,36,Other_Central,
2004,Jagged Island,Central,17,1,18,Other_Central,
2004,James Island,Central,NA,NA,0,Other_Central,
2004,Kayostla Beach,Central,NA,NA,0,Other_Central,
2004,North Point,Central,NA,NA,0,Other_Central,
2004,Off Yellow B,Central,2,1,3,Other_Central,also called SOUTH YELLOW BANKS
2004,Sand Point,Central,20,1,21,Other_Central,
2004,Sandy Island,Central,5,0,5,Other_Central,
2004,Submarine Rock,Central,NA,NA,0,Other_Central,
2004,White Rock,Central,3,0,3,Other_Central,
2004,Yellow B Area,Central,27,0,27,Other_Central,
2005,CEDAR CREEK,Central,29,3,32,Other_Central,
2005,YELLOW BANKS AREA1,Central,28,3,31,Other_Central,
2006,CEDAR CREEK,Central,51,2,53,Other_Central,
2006,YELLOW BANKS AREA1,Central,29,1,30,Other_Central,
2007,CEDAR CRK./NORWEGIAN MEM.1,Central,5,0,5,Other_Central,
2007,YELLOW BANKS AREA1,Central,0,0,0,Other_Central,
2008,CEDAR CRK./NORWEGIAN MEM.1,Central,36,3,39,Other_Central,
2008,YELLOW BANKS AREA1,Central,42,4,46,Other_Central,
2010,CEDAR CREEK/NORWEGIAN MEMORIAL*,Central,20,2,22,Other_Central,
2010,JAGGED ISLAND,Central,1,0,1,Other_Central,
2010,RIALTO BEACH,Central,1,0,1,Other_Central,
2010,SANDY ISLAND,Central,27,1,28,Other_Central,
2010,YELLOW BANKS AREA,Central,11,0,11,Other_Central,
2011,CEDAR CREEK/NORWEGIAN MEMORIAL*,Central,91,4,95,Other_Central,
2011,JAGGED ISLAND,Central,0,0,0,Other_Central,
2011,RIALTO BEACH,Central,0,0,0,Other_Central,
2011,SANDY ISLAND,Central,112,0,112,Other_Central,
2011,YELLOW BANKS AREA,Central,50,3,53,Other_Central,
2012,CEDAR CRK./NOR. MEM.,Central,143,1,144,Other_Central,
2013,CEDAR CREEK./NORWEGIAN MEMORIAL,Central,98,8,106,Other_Central,
2013,JAGGED ISLAND,Central,1,0,1,Other_Central,
2013,SANDY ISLAND,Central,2,1,3,Other_Central,
2013,YELLOW BANKS,Central,70,15,85,Other_Central,
2015,CEDAR CREEK/NORWEGIAN MEMORIAL*,Central,29,0,29,Other_Central,
2015,SANDY ISLET/JAGGED ISLAND AREA,Central,18,0,18,Other_Central,
2015,YELLOWBANKS AREA,Central,40,6,46,Other_Central,
1977,Duk Point,North,NA,NA,0,Other_North,
1977,Fuca Pillar,North,NA,NA,0,Other_North,
1977,Waddah Island,North,NA,NA,0,Other_North,
1978,Duk Point,North,NA,NA,0,Other_North,
1978,Fuca Pillar,North,NA,NA,0,Other_North,
1978,Waddah Island,North,NA,NA,0,Other_North,
1981,Duk Point,North,NA,NA,0,Other_North,
1981,Fuca Pillar,North,NA,NA,0,Other_North,
1981,Waddah Island,North,NA,NA,0,Other_North,
1983,Duk Point,North,NA,NA,0,Other_North,
1983,Fuca Pillar,North,NA,NA,0,Other_North,
1983,Waddah Island,North,NA,NA,0,Other_North,
1985,Duk Point,North,NA,NA,0,Other_North,
1985,Fuca Pillar,North,NA,NA,0,Other_North,
1985,Waddah Island,North,NA,NA,0,Other_North,
1987,Duk Point,North,NA,NA,12,Other_North,
1987,Fuca Pillar,North,NA,NA,0,Other_North,
1987,Waddah Island,North,NA,NA,0,Other_North,
1989,Duk Point,North,NA,NA,53,Other_North,
1989,Fuca Pillar,North,NA,NA,0,Other_North,
1989,Waddah Island,North,NA,NA,0,Other_North,
1990,Duk Point,North,NA,NA,71,Other_North,
1990,Fuca Pillar,North,NA,NA,0,Other_North,
1990,Waddah Island,North,NA,NA,0,Other_North,
1991,Duk Point,North,NA,NA,2,Other_North,
1991,Fuca Pillar,North,NA,NA,0,Other_North,
1991,Waddah Island,North,NA,NA,0,Other_North,
1992,Duk Point,North,NA,NA,0,Other_North,
1992,Fuca Pillar,North,NA,NA,0,Other_North,
1992,Waddah Island,North,NA,NA,0,Other_North,
1993,Duk Point,North,NA,NA,0,Other_North,
1993,Fuca Pillar,North,NA,NA,0,Other_North,
1993,Waddah Island,North,NA,NA,0,Other_North,
1994,Duk Point,North,NA,NA,65,Other_North,
1994,Fuca Pillar,North,NA,NA,0,Other_North,
1994,Waddah Island,North,NA,NA,0,Other_North,
1995,Duk Point,North,NA,NA,110,Other_North,
1995,Fuca Pillar,North,NA,NA,0,Other_North,
1995,Waddah Island,North,NA,NA,0,Other_North,
1996,Duk Point,North,NA,NA,3,Other_North,
1996,Fuca Pillar,North,NA,NA,0,Other_North,
1996,Waddah Island,North,NA,NA,0,Other_North,
1997,Duk Point,North,NA,NA,26,Other_North,
1997,Fuca Pillar,North,NA,NA,0,Other_North,
1997,Waddah Island,North,NA,NA,5,Other_North,
1998,Duk Point,North,NA,NA,14,Other_North,
1998,Fuca Pillar,North,NA,NA,0,Other_North,
1998,Waddah Island,North,NA,NA,0,Other_North,
1999,Duk Point,North,NA,NA,43,Other_North,
1999,Fuca Pillar,North,NA,NA,1,Other_North,
1999,Waddah Island,North,NA,NA,0,Other_North,
2000,Duk Point,North,NA,NA,35,Other_North,
2000,Fuca Pillar,North,NA,NA,0,Other_North,
2000,Pillar Point,North,NA,NA,1,Other_North,
2000,Waddah Island,North,NA,NA,0,Other_North,
2001,Duk Point,North,49,6,55,Other_North,
2001,Fuca Pillar,North,NA,NA,0,Other_North,
2001,Waddah Island,North,NA,NA,0,Other_North,
2002,Duk Point,North,40,3,43,Other_North,
2002,Fuca Pillar,North,NA,NA,0,Other_North,
2002,Waddah Island,North,NA,NA,0,Other_North,
2003,Duk Point,North,120,8,128,Other_North,
2003,Fuca Pillar,North,NA,NA,0,Other_North,
2003,Waddah Island,North,NA,NA,0,Other_North,
2004,Duk Point,North,13,1,14,Other_North,
2004,Fuca Pillar,North,NA,NA,0,Other_North,
2004,Waddah Island,North,NA,NA,0,Other_North,
2005,DUK PT.*,North,21,6,27,Other_North,
2005,INSHORE WHITE ROCK /WEDDING ROCKS,North,6,4,10,Other_North,
2005,NORTH KAYOSTLA BEACH,North,1,1,2,Other_North,
2005,SAND PT.*,North,19,3,22,Other_North,
2005,SANDY I.,North,3,1,4,Other_North,
2006,DUK PT.*,North,2,0,2,Other_North,
2006,INSHORE WHITE ROCK /WEDDING ROCKS,North,3,0,3,Other_North,
2006,NORTH KAYOSTLA BEACH,North,1,0,1,Other_North,
2006,SAND PT.*,North,4,2,6,Other_North,
2006,SANDY I.,North,11,0,11,Other_North,
2007,DUK PT.*1,North,84,11,95,Other_North,
2007,INSHORE WHITE ROCK /WEDDING ROCKS*,North,2,0,2,Other_North,
2007,MIDWAY POINT,North,3,0,3,Other_North,
2007,OFFSHORE YELLOW BANKS,North,42,6,48,Other_North,
2007,SAND PT.*1,North,22,6,28,Other_North,
2007,SANDY I. 1,North,3,0,3,Other_North,
2007,WEDDING ROCKS,North,0,0,0,Other_North,
2008,DUK PT.*1,North,33,5,38,Other_North,
2008,INSHORE WHITE ROCK /WEDDING ROCKS*,North,2,0,2,Other_North,
2008,MIDWAY POINT,North,0,0,0,Other_North,
2008,OFFSHORE YELLOW BANKS,North,0,0,0,Other_North,
2008,SAND PT.*1,North,21,6,27,Other_North,
2008,SANDY I. 1,North,0,0,0,Other_North,
2008,WEDDING ROCKS,North,2,0,2,Other_North,
2010,DUK POINT*,North,21,3,24,Other_North,
2010,INSHORE WHITE ROCK,North,5,1,6,Other_North,
2010,SAND POINT*,North,16,3,19,Other_North,
2010,WAADAH ISLAND,North,0,0,0,Other_North,
2010,WEDDING ROCKS,North,2,0,2,Other_North,
2011,DUK POINT*,North,93,13,106,Other_North,
2011,INSHORE WHITE ROCK,North,3,0,3,Other_North,
2011,SAND POINT*,North,17,4,21,Other_North,
2011,WAADAH ISLAND,North,1,0,1,Other_North,
2011,WEDDING ROCKS,North,0,0,0,Other_North,
2012,ARCHAWAT CREEK,North,0,0,0,Other_North,
2012,DUK PT.,North,62,8,70,Other_North,
2012,FUCA PILLAR,North,0,0,0,Other_North,
2012,INSHORE WHITE ROCK /WEDDING ROCKS,North,3,0,3,Other_North,
2012,SAND PT.,North,35,4,39,Other_North,
2012,WEDDING ROCKS,North,0,0,0,Other_North,
2013,DUK POINT,North,34,6,40,Other_North,
2013,INSHORE WHITE ROCK SUBMARINE ROCK,North,2,1,3,Other_North,
2013,MIDWAY BEACH,North,2,0,2,Other_North,
2013,SAND POINT,North,65,6,71,Other_North,
2013,WEDDING ROCKS,North,1,0,1,Other_North,
2015,DUK POINT*,North,43,12,55,Other_North,
2015,INSHORE KELP BED EAST OF WHITE ROCK,North,8,4,12,Other_North,
2015,SAND POINT AREA*,North,86,9,95,Other_North,
2015,WEDDING ROCKS/SE OZETTE ISLAND,North,27,5,32,Other_North,
1977,Diamond Rock,South,NA,NA,0,Other_South,
1977,Goodman Creek,South,NA,NA,0,Other_South,
1977,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1977,Quillayute Needles,South,NA,NA,0,Other_South,
1977,Toleak/Strawberry,South,NA,NA,0,Other_South,
1977,Willoughby Rk.,South,NA,NA,0,Other_South,
1978,Diamond Rock,South,NA,NA,0,Other_South,
1978,Goodman Creek,South,NA,NA,0,Other_South,
1978,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1978,Quillayute Needles,South,NA,NA,0,Other_South,
1978,Toleak/Strawberry,South,NA,NA,0,Other_South,
1978,Willoughby Rk.,South,NA,NA,0,Other_South,
1981,Diamond Rock,South,NA,NA,0,Other_South,
1981,Goodman Creek,South,NA,NA,0,Other_South,
1981,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1981,Quillayute Needles,South,NA,NA,0,Other_South,
1981,Toleak/Strawberry,South,NA,NA,0,Other_South,
1981,Willoughby Rk.,South,NA,NA,0,Other_South,
1983,Diamond Rock,South,NA,NA,0,Other_South,
1983,Goodman Creek,South,NA,NA,0,Other_South,
1983,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1983,Quillayute Needles,South,NA,NA,0,Other_South,
1983,Toleak/Strawberry,South,NA,NA,0,Other_South,
1983,Willoughby Rk.,South,NA,NA,0,Other_South,
1985,Diamond Rock,South,NA,NA,0,Other_South,
1985,Goodman Creek,South,NA,NA,0,Other_South,
1985,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1985,Quillayute Needles,South,NA,NA,0,Other_South,
1985,Toleak/Strawberry,South,NA,NA,0,Other_South,
1985,Willoughby Rk.,South,NA,NA,0,Other_South,
1987,Diamond Rock,South,NA,NA,0,Other_South,
1987,Goodman Creek,South,NA,NA,0,Other_South,
1987,Hoh R/Perkins R,South,NA,NA,1,Other_South,
1987,Quillayute Needles,South,NA,NA,0,Other_South,
1987,Toleak/Strawberry,South,NA,NA,0,Other_South,
1987,Willoughby Rk.,South,NA,NA,0,Other_South,
1989,Diamond Rock,South,NA,NA,0,Other_South,
1989,Goodman Creek,South,NA,NA,0,Other_South,
1989,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1989,Quillayute Needles,South,NA,NA,0,Other_South,
1989,Toleak/Strawberry,South,NA,NA,0,Other_South,
1989,Willoughby Rk.,South,NA,NA,0,Other_South,
1990,Diamond Rock,South,NA,NA,0,Other_South,
1990,Goodman Creek,South,NA,NA,0,Other_South,
1990,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1990,Quillayute Needles,South,NA,NA,0,Other_South,
1990,Toleak/Strawberry,South,NA,NA,0,Other_South,
1990,Willoughby Rk.,South,NA,NA,0,Other_South,
1991,Diamond Rock,South,NA,NA,0,Other_South,
1991,Goodman Creek,South,NA,NA,0,Other_South,
1991,Hoh R/Perkins R,South,NA,NA,1,Other_South,
1991,Quillayute Needles,South,NA,NA,0,Other_South,
1991,Toleak/Strawberry,South,NA,NA,1,Other_South,
1991,Willoughby Rk.,South,NA,NA,0,Other_South,
1992,Diamond Rock,South,NA,NA,0,Other_South,
1992,Goodman Creek,South,NA,NA,0,Other_South,
1992,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1992,Quillayute Needles,South,NA,NA,0,Other_South,
1992,Toleak/Strawberry,South,NA,NA,11,Other_South,
1992,Willoughby Rk.,South,NA,NA,0,Other_South,
1993,Diamond Rock,South,NA,NA,0,Other_South,
1993,Goodman Creek,South,NA,NA,0,Other_South,
1993,Hoh R/Perkins R,South,NA,NA,0,Other_South,
1993,Quillayute Needles,South,NA,NA,0,Other_South,
1993,Toleak/Strawberry,South,NA,NA,2,Other_South,
1993,Willoughby Rk.,South,NA,NA,0,Other_South,
1994,Diamond Rock,South,NA,NA,0,Other_South,
1994,Goodman Creek,South,NA,NA,0,Other_South,
1994,Hoh R/Perkins R,South,NA,NA,1,Other_South,
1994,Quillayute Needles,South,NA,NA,0,Other_South,
1994,Toleak/Strawberry,South,NA,NA,3,Other_South,
1994,Willoughby Rk.,South,NA,NA,0,Other_South,
1995,Diamond Rock,South,NA,NA,0,Other_South,
1995,Goodman Creek,South,NA,NA,0,Other_South,
1995,Hoh R/Perkins R,South,NA,NA,13,Other_South,
1995,Quillayute Needles,South,NA,NA,0,Other_South,
1995,Toleak/Strawberry,South,NA,NA,0,Other_South,
1995,Willoughby Rk.,South,NA,NA,0,Other_South,
1996,Diamond Rock,South,NA,NA,0,Other_South,
1996,Goodman Creek,South,NA,NA,0,Other_South,
1996,Hoh R/Perkins R,South,NA,NA,13,Other_South,
1996,Quillayute Needles,South,NA,NA,0,Other_South,
1996,Toleak/Strawberry,South,NA,NA,1,Other_South,
1996,Willoughby Rk.,South,NA,NA,0,Other_South,
1997,Diamond Rock,South,NA,NA,0,Other_South,
1997,Goodman Creek,South,NA,NA,0,Other_South,
1997,Hoh R/Perkins R,South,NA,NA,31,Other_South,
1997,Quillayute Needles,South,NA,NA,0,Other_South,
1997,Toleak/Strawberry,South,NA,NA,2,Other_South,
1997,Willoughby Rk.,South,NA,NA,0,Other_South,
1998,Diamond Rock,South,NA,NA,0,Other_South,
1998,Goodman Creek,South,NA,NA,0,Other_South,
1998,Hoh R/Perkins R,South,NA,NA,13,Other_South,
1998,Quillayute Needles,South,NA,NA,1,Other_South,
1998,Toleak/Strawberry,South,NA,NA,0,Other_South,
1998,Willoughby Rk.,South,NA,NA,0,Other_South,
1999,Diamond Rock,South,NA,NA,0,Other_South,
1999,Goodman Creek,South,NA,NA,0,Other_South,
1999,Hoh R/Perkins R,South,NA,NA,85,Other_South,
1999,Quillayute Needles,South,NA,NA,0,Other_South,
1999,Toleak/Strawberry,South,NA,NA,0,Other_South,
1999,Willoughby Rk.,South,NA,NA,0,Other_South,
2000,Diamond Rock,South,NA,NA,0,Other_South,
2000,Goodman Creek,South,NA,NA,0,Other_South,
2000,Hoh R/Perkins R,South,NA,NA,61,Other_South,
2000,Quillayute Needles,South,NA,NA,0,Other_South,
2000,Toleak/Strawberry,South,NA,NA,1,Other_South,
2000,Willoughby Rk.,South,NA,NA,1,Other_South,
2001,Diamond Rock,South,24,1,25,Other_South,
2001,Goodman Creek,South,1,0,1,Other_South,
2001,Hoh R/Perkins R,South,29,1,30,Other_South,
2001,Quillayute Needles,South,NA,NA,0,Other_South,
2001,Toleak/Strawberry,South,5,0,5,Other_South,
2001,Willoughby Rk.,South,0,0,0,Other_South,
2002,Diamond Rock,South,24,0,24,Other_South,
2002,Goodman Creek,South,6,0,6,Other_South,
2002,Hoh R,South,1,0,1,Other_South,
2002,Perkins Reef (Rock 443),South,53,3,56,Other_South,
2002,Quillayute Needles,South,1,0,1,Other_South,
2002,Toleak/Strawberry,South,NA,NA,0,Other_South,
2002,Willoughby Rk.,South,NA,NA,0,Other_South,
2003,Diamond Rock,South,3,0,3,Other_South,
2003,Goodman Creek,South,1,1,2,Other_South,
2003,Hoh R/Perkins R,South,88,0,88,Other_South,
2003,North Rock,South,1,0,1,Other_South,
2003,Quillayute Needles,South,NA,NA,0,Other_South,
2003,Toleak/Strawberry,South,NA,NA,0,Other_South,
2003,Willoughby Rk.,South,NA,NA,0,Other_South,
2004,Diamond Rock,South,49,0,49,Other_South,
2004,Goodman Creek,South,8,0,8,Other_South,
2004,Hoh R/Perkins R,South,9,0,9,Other_South,
2004,Quillayute Needles,South,NA,NA,0,Other_South,
2004,Toleak/Strawberry,South,NA,NA,0,Other_South,
2004,Willoughby Rk.,South,NA,NA,0,Other_South,
2005,DIAMOND ROCK2,South,68,1,69,Other_South,
2005,GOODMAN CREEK,South,0,0,0,Other_South,
2005,HOH HEAD,South,1,0,1,Other_South,
2005,HOH RIVER MOUTH,South,3,0,3,Other_South,
2005,KALALOCH/BROWNS PT.,South,14,0,14,Other_South,
2005,"PERKINS REEF (ROCK 443)1,2",South,19,0,19,Other_South,
2005,QUILLLAYUTE NEEDLES,South,2,0,2,Other_South,
2005,TOLEAK/STRAWBERRY PT.,South,0,0,0,Other_South,
2006,DIAMOND ROCK2,South,22,0,22,Other_South,
2006,GOODMAN CREEK,South,8,1,9,Other_South,
2006,HOH HEAD,South,2,0,2,Other_South,
2006,HOH RIVER MOUTH,South,0,0,0,Other_South,
2006,KALALOCH/BROWNS PT.,South,1,0,1,Other_South,
2006,"PERKINS REEF (ROCK 443)1,2",South,65,0,65,Other_South,
2006,QUILLLAYUTE NEEDLES,South,1,0,1,Other_South,
2006,TOLEAK/STRAWBERRY PT.,South,2,0,2,Other_South,
2007,ALEXANDER ISLAND,South,3,0,3,Other_South,
2007,BROWNS POINT,South,0,0,0,Other_South,
2007,HOH HEAD,South,1,0,1,Other_South,
2007,HOH RIVER MOUTH,South,1,0,1,Other_South,
2007,KALALOCH,South,0,0,0,Other_South,
2007,MIDDLE Rk/DIAMOND ROCK,South,209,8,217,Other_South,
2007,NORTH BROWN PT.,South,1,0,1,Other_South,
2007,NORTH ROCK1,South,0,0,0,Other_South,
2007,PERKINS REEF (ROCK 443),South,251,6,257,Other_South,
2007,SOUTH BEACH CAMPGROUND,South,0,0,0,Other_South,
2007,TOLEAK/STRAWBERRY PT.,South,0,0,0,Other_South,
2007,WILLOUGHBY ROCK,South,0,0,0,Other_South,
2008,ALEXANDER ISLAND,South,0,0,0,Other_South,
2008,BROWNS POINT,South,1,0,1,Other_South,
2008,HOH HEAD,South,1,0,1,Other_South,
2008,HOH RIVER MOUTH,South,3,0,3,Other_South,
2008,KALALOCH,South,1,0,1,Other_South,
2008,MIDDLE Rk/DIAMOND ROCK,South,209,8,217,Other_South,
2008,NORTH BROWN PT.,South,1,0,1,Other_South,
2008,NORTH ROCK1,South,66,9,75,Other_South,
2008,PERKINS REEF (ROCK 443),South,1,0,1,Other_South,
2008,SOUTH BEACH CAMPGROUND,South,2,0,2,Other_South,
2008,TOLEAK/STRAWBERRY PT.,South,1,0,1,Other_South,
2008,WILLOUGHBY ROCK,South,1,0,1,Other_South,
2010,ALEXANDER ISLAND,South,0,0,0,Other_South,
2010,BROWNS POINT,South,0,0,0,Other_South,
2010,GOODMAN CREEK,South,0,0,0,Other_South,
2010,HOH HEAD,South,0,0,0,Other_South,
2010,KALALOCH,South,0,0,0,Other_South,
2010,MIDDLE Rk/DIAMOND ROCK,South,209,8,217,Other_South,
2010,NORTH STEAMBOAT CREEK,South,0,0,0,Other_South,
2010,PERKINS REEF (ROCKS 443),South,0,0,0,Other_South,
2010,RUBY BEACH,South,2,0,2,Other_South,
2010,TOLEAK/STRAWBERRY PT.,South,0,0,0,Other_South,
2010,WILLOUGHBY ROCK,South,0,0,0,Other_South,
2011,ALEXANDER ISLAND,South,1,0,1,Other_South,
2011,BROWNS POINT,South,2,0,2,Other_South,
2011,GOODMAN CREEK,South,6,4,10,Other_South,
2011,HOH HEAD,South,1,0,1,Other_South,
2011,KALALOCH,South,1,0,1,Other_South,
2011,MIDDLE Rk/DIAMOND ROCK,South,209,8,217,Other_South,
2011,NORTH STEAMBOAT CREEK,South,1,0,1,Other_South,
2011,PERKINS REEF (ROCKS 443),South,29,3,32,Other_South,
2011,RUBY BEACH,South,1,0,1,Other_South,
2011,TOLEAK/STRAWBERRY PT.,South,1,1,2,Other_South,
2011,WILLOUGHBY ROCK,South,2,2,4,Other_South,
2012,HOH RIVER MOUTH,South,10,0,10,Other_South,
2012,MIDDLE Rk/DIAMOND ROCK,South,209,8,217,Other_South,
2012,NORTH ROCK,South,1,0,1,Other_South,
2012,PERKINS REEF (ROCK 443),South,30,0,30,Other_South,
2012,SOUTH RAFT RIVER,South,3,0,3,Other_South,
2013,ALEXANDER ISLAND,South,5,1,6,Other_South,
2013,MIDDLE Rk/DIAMOND ROCK,South,209,8,217,Other_South,
2013,PERKINS REEF (ROCK 443),South,266,2,268,Other_South,
2013,QUILLEUTE NEEDLES,South,3,0,3,Other_South,
2013,WILLOUGHBY ROCK,South,3,0,3,Other_South,
2015,1 MILE W. OF HOH HEAD (IN OPEN WATER),South,364,0,364,Other_South,
2015,ALEXANDER ISLAND,South,4,0,4,Other_South,
2015,DIAMOND ROCK,South,4,1,5,Other_South,
2015,GOODMAN CREEK,South,1,0,1,Other_South,
2015,HOGSBACK,South,3,0,3,Other_South,
2015,N. OF HOH HEAD,South,1,0,1,Other_South,
2015,NORTH ROCK,South,2,0,2,Other_South,
2015,PERKINS REEF,South,15,1,16,Other_South,
2015,ROCK 443 COMPLEX,South,9,1,10,Other_South,
2015,WILLOUGHBY ROCK,South,134,9,143,Other_South,
1977,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1978,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1981,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1983,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1985,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1987,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1989,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1990,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1991,Pt of Arches/ Father & Son,North,NA,NA,1,PA,
1992,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1993,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1994,Pt of Arches/ Father & Son,North,NA,NA,0,PA,
1995,Pt of Arches/ Father & Son,North,NA,NA,3,PA,
1996,Pt of Arches/ Father & Son,North,NA,NA,2,PA,
1997,Pt of Arches/ Father & Son,North,NA,NA,9,PA,
1998,Pt of Arches/ Father & Son,North,NA,NA,7,PA,
1999,Pt of Arches/ Father & Son,North,NA,NA,16,PA,
2000,Father & Son,North,NA,NA,1,PA,
2000,Pt of Arches,North,NA,NA,4,PA,
2001,Pt of Arches/ Father & Son,North,42,10,52,PA,
2002,Pt of Arches/ Father & Son,North,36,12,48,PA,
2003,Pt of Arches/ Father & Son,North,1,0,1,PA,
2004,Pt of Arches/ Father & Son,North,21,7,28,PA,
2005,FATHER AND SON*,North,28,9,37,PA,
2006,FATHER AND SON*,North,18,5,23,PA,
2007,FATHER AND SON*,North,12,3,15,PA,
2007,PT. OF ARCHES,North,2,0,2,PA,
2008,FATHER AND SON*,North,14,9,23,PA,
2008,PT. OF ARCHES,North,0,0,0,PA,
2010,FATHER AND SON*,North,20,5,25,PA,
2010,PT. OF ARCHES,North,0,0,0,PA,
2011,FATHER AND SON*,North,1,0,1,PA,
2011,PT. OF ARCHES,North,4,0,4,PA,
2012,FATHER AND SON,North,6,2,8,PA,
2012,PT. OF ARCHES,North,0,0,0,PA,
2013,POINT OF ARCHES,North,5,0,5,PA,
2015,INSHORE OF FATHER AND SON,North,1,0,1,PA,
1977,Giants Graveyard,South,NA,NA,4,TH,
1978,Giants Graveyard,South,NA,NA,0,TH,
1981,Giants Graveyard,South,NA,NA,0,TH,
1983,Giants Graveyard,South,NA,NA,0,TH,
1985,Giants Graveyard,South,NA,NA,0,TH,
1987,Giants Graveyard,South,NA,NA,1,TH,
1989,Giants Graveyard,South,NA,NA,5,TH,
1990,Giants Graveyard,South,NA,NA,3,TH,
1991,Giants Graveyard,South,NA,NA,3,TH,
1992,Giants Graveyard,South,NA,NA,1,TH,
1993,Giants Graveyard,South,NA,NA,13,TH,
1994,Giants Graveyard,South,NA,NA,1,TH,
1995,Giants Graveyard,South,NA,NA,8,TH,
1996,Giants Graveyard,South,NA,NA,7,TH,
1997,Giants Graveyard,South,NA,NA,5,TH,
1998,Giants Graveyard,South,NA,NA,0,TH,
1999,Giants Graveyard,South,NA,NA,2,TH,
2000,Giants Graveyard,South,NA,NA,8,TH,
2001,Giants Graveyard,South,9,1,10,TH,
2002,Giants Graveyard,South,1,0,1,TH,
2003,Giants Graveyard,South,1,0,1,TH,
2004,Giants Graveyard,South,2,0,2,TH,
2005,GIANTS GRAVEYARD,South,22,0,22,TH,
2006,GIANTS GRAVEYARD,South,76,5,81,TH,
2007,GIANTS GRAVEYARD1,South,20,5,25,TH,
2008,GIANTS GRAVEYARD1,South,7,3,10,TH,
