"sort_order","YEAR","MONTH","DAY","SITE","OBSERVER","BUDDY","SIDE","ZONE","LEVEL","TRANSECT","DEPTH_M","DEPTH_FT","VIS_M","SURGE","HEADING","TEMP_C","TEMP_F","SPECIES","SEGMENT","QUANTITY","SIZE..MIN.","SIZE..MAX.","Notes"
363,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.5,"L","270.0",NA,53,"SEME","ALL",2,40,40,NA
364,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.5,"L","270.0",NA,53,"EMLA","ALL",2,15,15,NA
365,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.5,"L","270.0",NA,53,"EMLA","ALL",3,20,20,NA
366,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.5,"L","270.0",NA,53,"EMLA","ALL",2,25,25,NA
367,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.5,"L","270.0",NA,53,"HEDE","ALL",1,25,25,NA
368,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.5,"L","270.0",NA,52,"SEME","ALL",1,40,40,NA
369,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.5,"L","270.0",NA,52,"HEDE","ALL",1,30,30,NA
370,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.5,"L","270.0",NA,52,"SEBYT","ALL",1,5,5,NA
371,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.5,"L","270.0",NA,52,"SEBYT","ALL",1,3,3,NA
372,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,3.2,"L","270.0",NA,51,"SEME","ALL",1,30,30,NA
373,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,3.2,"L","270.0",NA,51,"EMLA","ALL",1,15,15,NA
374,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,3.2,"L","270.0",NA,51,"SEBYT","ALL",1,2,2,NA
375,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"SEBYT","ALL",1,3,3,NA
376,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"SEME","ALL",1,20,20,NA
377,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"SEME","ALL",1,30,30,NA
378,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"SEME","ALL",4,35,35,NA
379,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"SEME","ALL",1,40,40,NA
380,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"EMLA","ALL",2,15,15,NA
381,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"EMLA","ALL",1,20,20,NA
382,2017,8,2,"Cape Alava","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,3.2,"L","270.0",NA,51,"HEDE","ALL",2,25,25,NA
383,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","1.0",10,"BOT",1,NA,17,2,"L","90.0",NA,51,"OXPI","ALL",1,20,20,NA
384,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","1.0",10,"BOT",2,NA,18,2,"L","60.0",NA,50,"SEME","ALL",1,20,20,NA
385,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","1.0",10,"BOT",3,NA,17,2,"L","30.0",NA,51,"NO_ORG","ALL",NA,NA,NA,NA
386,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","1.0",10,"BOT",4,NA,15,2,"L","60.0",NA,51,"NO_ORG","ALL",NA,NA,NA,NA
387,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,1.7,"L","0.0",NA,52,"SEBYT","ALL",17,5,5,NA
388,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,1.7,"L","0.0",NA,52,"SEBYT","ALL",2,6,6,NA
389,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,1.7,"L","0.0",NA,52,"RYOY","ALL",1,4,4,NA
390,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",1,NA,15,1.7,"L","0.0",NA,52,"SEME","ALL",1,37,37,NA
391,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,13,1.7,"L","0.0",NA,50,"SEBYT","ALL",8,7,7,NA
392,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,13,1.7,"L","0.0",NA,50,"SEBYT","ALL",2,8,8,NA
393,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,13,1.7,"L","0.0",NA,50,"SEME","ALL",1,27,27,NA
394,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,13,1.7,"L","0.0",NA,50,"SEME","ALL",1,30,30,NA
395,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,13,1.7,"L","0.0",NA,50,"SEME","ALL",1,35,35,NA
396,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",2,NA,13,1.7,"L","0.0",NA,50,"EMLA","ALL",1,10,10,NA
397,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,12,1.7,"L","10.0",NA,52,"SEBYT","ALL",4,6,6,NA
398,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,12,1.7,"L","10.0",NA,52,"SEBYT","ALL",2,7,7,NA
399,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,12,1.7,"L","10.0",NA,52,"EMLA","ALL",1,9,9,NA
400,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","1.0",5,"BOT",3,NA,12,1.7,"L","10.0",NA,52,"EMLA","ALL",1,41,41,NA
401,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","2.0",10,"BOT",1,NA,18,1.5,"L","210.0",NA,53,"NO_ORG","ALL",NA,NA,NA,NA
402,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","2.0",10,"BOT",2,NA,17,1.5,"L","210.0",NA,53,"ENBI","ALL",1,10,10,NA
403,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","2.0",10,"BOT",3,NA,16,1.9,"L","180.0",NA,50,"NO_ORG","ALL",NA,NA,NA,NA
404,2017,7,31,"Cape Johnson","Nick Tolimieri","Chris Harvey","2.0",10,"BOT",4,NA,15,1.8,"L","180.0",NA,50,"EMLA","ALL",1,4,4,NA
405,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",1,NA,12,2.1,"L","180.0",NA,54,"SEME","ALL",1,32,32,NA
406,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",1,NA,12,2.1,"L","180.0",NA,54,"SEME","ALL",1,35,35,NA
407,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",1,NA,12,2.1,"L","180.0",NA,54,"HEDE","ALL",1,16,16,NA
408,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",1,NA,12,2.1,"L","180.0",NA,54,"SCMA","ALL",1,31,31,NA
409,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",2,NA,13,2.1,"L","180.0",NA,50,"NO_ORG","ALL",NA,NA,NA,NA
410,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",3,NA,13,2.1,"L","10.0",NA,50,"SEME","ALL",1,6,6,NA
411,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",3,NA,13,2.1,"L","10.0",NA,50,"RYOY","ALL",1,5,5,NA
412,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",3,NA,13,2.1,"L","10.0",NA,50,"EMLA","ALL",1,31,31,NA
413,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"SEME","ALL",2,33,33,NA
414,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"SEME","ALL",2,37,37,NA
415,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"SEME","ALL",2,42,42,NA
416,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"EMLA","ALL",1,17,17,NA
417,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"EMLA","ALL",1,26,26,NA
418,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"EMLA","ALL",1,30,30,NA
419,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",4,NA,14,2.1,"L","100.0",NA,50,"EMLA","ALL",1,40,40,NA
420,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",5,NA,13,2.1,"L","190.0",NA,50,"EMLA","ALL",1,24,24,NA
421,2017,7,31,"Cape Johnson","Steve Lonhart","Kinsey Frick","2.0",5,"BOT",5,NA,13,2.1,"L","190.0",NA,50,"RYOY","ALL",1,NA,NA,NA
422,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,7.6,"L",NA,NA,55,"SEBYT","ALL",2,4,4,NA
423,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,7.6,"L",NA,NA,55,"EMLA","ALL",1,25,25,NA
424,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,7.6,"L",NA,NA,55,"HEDE","ALL",1,30,30,NA
425,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,7.6,"L",NA,NA,55,"OPEL","ALL",1,40,40,NA
426,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,7.6,"L",NA,NA,55,"OPEL","ALL",1,50,50,NA
427,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,9.1,"L",NA,NA,49,"SEBYT","ALL",120,4,4,NA
428,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,9.1,"L",NA,NA,49,"SEME","ALL",1,30,30,NA
429,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,9.1,"L",NA,NA,49,"EMLA","ALL",2,20,20,NA
430,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,9.1,"L",NA,NA,49,"EMLA","ALL",1,15,15,NA
431,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,9.1,"L",NA,NA,49,"HEDE","ALL",1,35,35,NA
432,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,8.3,"L",NA,NA,49,"SEBYT","ALL",2,4,4,NA
433,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,8.3,"L",NA,NA,49,"SEME","ALL",2,30,30,NA
434,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,8,"L",NA,NA,52,"EMLA","ALL",2,20,20,NA
435,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,7.7,"L",NA,NA,48,"SEME","ALL",5,25,25,NA
436,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,7.7,"L",NA,NA,48,"SEME","ALL",4,30,30,NA
437,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,7.7,"L",NA,NA,48,"SEME","ALL",1,35,35,NA
438,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,7.7,"L",NA,NA,48,"EMLA","ALL",1,20,20,NA
439,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,7.7,"L",NA,NA,48,"EMLA","ALL",1,25,25,NA
440,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"SEBYT","ALL",67,3,3,NA
441,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"SEBYT","ALL",24,4,4,NA
442,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"SEME","ALL",2,30,30,NA
443,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"SEME","ALL",1,25,25,NA
444,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"EMLA","ALL",2,10,10,NA
445,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"EMLA","ALL",1,15,15,NA
446,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"EMLA","ALL",1,25,25,NA
447,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"HEDE","ALL",1,25,25,NA
448,2017,8,3,"Tatoosh Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,7.7,"L",NA,NA,48,"HEDE","ALL",1,35,35,NA
449,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.3,"L","270.0",NA,47,"EMLA","ALL",1,20,20,NA
450,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,15,2.3,"L","270.0",NA,47,"RYOY","ALL",2,4,4,NA
451,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.2,"L","270.0",NA,47,"SEME","ALL",1,25,25,NA
452,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.2,"L","270.0",NA,47,"EMLA","ALL",2,15,15,NA
453,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.2,"L","270.0",NA,47,"EMLA","ALL",2,25,25,NA
454,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,15,2.2,"L","270.0",NA,47,"HEDE","ALL",1,35,35,NA
455,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,1.8,"L","270.0",NA,47,"SEBYT","ALL",1,2,2,NA
456,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,1.8,"L","270.0",NA,47,"SEME","ALL",2,35,35,NA
457,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,1.8,"L","270.0",NA,47,"EMLA","ALL",4,15,15,NA
458,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",3,NA,15,1.8,"L","270.0",NA,47,"EMLA","ALL",1,25,25,NA
459,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,1.8,"L","270.0",NA,47,"SEME","ALL",1,30,30,NA
460,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,1.8,"L","270.0",NA,47,"SEME","ALL",1,35,35,NA
461,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,1.8,"L","270.0",NA,47,"EMLA","ALL",5,15,15,NA
462,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,1.8,"L","270.0",NA,47,"EMLA","ALL",3,20,20,NA
463,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",4,NA,15,1.8,"L","270.0",NA,47,"EMLA","ALL",1,25,25,NA
464,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"SEBYT","ALL",1,3,3,NA
465,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"SEME","ALL",3,25,25,NA
466,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"SEME","ALL",1,30,30,NA
467,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"SEME","ALL",1,35,35,NA
468,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"EMLA","ALL",6,10,10,NA
469,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"EMLA","ALL",5,15,15,NA
470,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"EMLA","ALL",2,20,20,NA
471,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",1,NA,15,2.2,"L","90.0",NA,52,"OXPI","ALL",1,15,15,NA
472,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,1.5,"L","90.0",NA,52,"SEME","ALL",2,20,20,NA
473,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,1.5,"L","90.0",NA,52,"EMLA","ALL",1,10,10,NA
474,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",2,NA,15,1.5,"L","90.0",NA,52,"EMLA","ALL",1,20,20,NA
475,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"SEME","ALL",1,25,25,NA
476,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"SEME","ALL",1,20,20,NA
477,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"SEME","ALL",2,30,30,NA
478,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"SEME","ALL",1,40,40,NA
479,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"EMLA","ALL",6,10,10,NA
480,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"EMLA","ALL",3,20,20,NA
481,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",3,NA,15,1.5,"L","90.0",NA,47,"HEDE","ALL",1,35,35,NA
482,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",4,NA,15,2.1,"L","45.0",NA,47,"RYOY","ALL",1,3,3,NA
483,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",4,NA,15,2.1,"L","45.0",NA,47,"EMLA","ALL",2,20,20,NA
484,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",4,NA,15,2.1,"L","45.0",NA,47,"HEDE","ALL",1,30,30,NA
485,2017,8,1,"Destruction Island","Nick Tolimieri","Steve Lonhart","2.0",5,"BOT",4,NA,15,2.1,"L","45.0",NA,47,"OPEL","ALL",1,50,50,NA
486,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",1,NA,28,5,"L","270.0",NA,51,"SEME","ALL",2,30,30,NA
487,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",1,NA,28,5,"L","270.0",NA,51,"SEME","ALL",3,35,35,NA
488,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",1,NA,28,5,"L","270.0",NA,51,"SEME","ALL",8,40,40,NA
489,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",1,NA,28,5,"L","270.0",NA,51,"SECA","ALL",1,35,35,NA
490,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",1,NA,28,5,"L","270.0",NA,51,"SECA","ALL",1,45,45,NA
491,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",1,NA,28,5,"L","270.0",NA,51,"HEDE","ALL",2,30,30,NA
492,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",2,NA,21,5,"L","270.0",NA,51,"SEME","ALL",10,30,30,NA
493,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",2,NA,21,5,"L","270.0",NA,51,"SEME","ALL",12,35,35,NA
494,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",2,NA,21,5,"L","270.0",NA,51,"SEME","ALL",2,45,45,NA
495,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",2,NA,21,5,"L","270.0",NA,51,"HEDE","ALL",2,30,30,NA
496,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",2,NA,21,5,"L","270.0",NA,51,"HEDE","ALL",2,35,35,NA
497,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",2,NA,21,5,"L","270.0",NA,51,"RHNI","ALL",1,10,10,NA
498,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"SEME","ALL",4,30,30,NA
499,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"SEME","ALL",7,35,35,NA
500,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"SEME","ALL",5,40,40,NA
501,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"SECA","ALL",1,40,40,NA
502,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"EMLA","ALL",1,20,20,NA
503,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"HEDE","ALL",1,25,25,NA
504,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"HEDE","ALL",1,30,30,NA
505,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",3,NA,25,4,"L","330.0",NA,50,"HEDE","ALL",2,35,35,NA
506,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"SEME","ALL",3,10,10,NA
507,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"SEME","ALL",4,30,30,NA
508,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"SEME","ALL",12,35,35,NA
509,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"SEME","ALL",4,40,40,NA
510,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"EMLA","ALL",1,20,20,NA
511,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"HEDE","ALL",1,30,30,NA
512,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"HEDE","ALL",1,35,35,NA
513,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"AUFL","ALL",10,10,10,NA
514,2017,8,4,"Neah Bay","Kelly Andrews","Kinsey Frick","1.0",10,"BOT",4,NA,29,3.5,"L","220.0",NA,49,"SEMA","ALL",1,35,35,NA
515,2017,8,4,"Neah Bay","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,13,2.6,"L","180.0",NA,49,"EMLA","ALL",2,25,25,NA
516,2017,8,4,"Neah Bay","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,13,2.6,"L","180.0",NA,49,"HEDE","ALL",1,30,30,NA
517,2017,8,4,"Neah Bay","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",1,NA,13,2.6,"L","180.0",NA,49,"HEDE","ALL",1,35,35,NA
518,2017,8,4,"Neah Bay","Nick Tolimieri","Steve Lonhart","1.0",5,"BOT",2,NA,10,2.8,"L","180.0",NA,49,"SEBYT","ALL",3,6,6,NA
