SITE,Year,Survey,Source,Longitude,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,chiton,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,chiton,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,chiton,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,chiton,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,chiton,,,0,0,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,chiton,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,chiton,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,chiton,,,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,chiton,,,0.04,0.2,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,chiton,,,0.04,0.2,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,chiton,,,0.06,,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,chiton,,,0.39,,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,chiton,,,0.11,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,chiton,,,0.59,,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,chiton,,,0.22,,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,chiton,,,0.4,,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,chiton,,,0.36,,
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 37.877'W ,48,23.143,124,37.877,6,6,16,bivalve,,,0,0,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,19.061,124,40.307,6,6,36,bivalve,,,0,0,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,18.387,124,40.307,6,6,32,bivalve,,,0,0,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,4.5-6,5,20,bivalve,,,0,0,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,3-4.5,4,35,bivalve,,,0.11,0.68,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 41.037'W,47,58.385,124,41.037,4.5-6,5,31,bivalve,,,0,0,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,bivalve,,,0,0,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 36.324'W,47,52.16,124,36.324,6-horiz,6,30,bivalve,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,6-slope,6,14,bivalve,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,12,12,16,bivalve,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,18-21,20,32,bivalve,,,0.13,0.71,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-horiz,6,13,bivalve,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-slope,6,27,bivalve,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,12,12,30,bivalve,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,bivalve,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,bivalve,,,0,0,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,bivalve,,,0,0,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,bivalve,,,0,0,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,bivalve,,,0,0,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,bivalve,,,0,0,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,bivalve,,,0,0,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,bivalve,,,0,0,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,bivalve,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,bivalve,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,bivalve,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,bivalve,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,bivalve,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,bivalve,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,bivalve,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,bivalve,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,bivalve,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,bivalve,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,bivalve,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,bivalve,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,bivalve,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,bivalve,,,0.32,1.11,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,bivalve,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,bivalve,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,bivalve,,,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,bivalve,scallops,,0,0,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,bivalve,scallops,,0,0,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,bivalve,scallops,,0.02,0.14,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,bivalve,scallops,,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,bivalve,scallops,,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,bivalve,scallops,,0.03,0.22,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,bivalve,scallops,,0.14,0.76,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,bivalve,scallops,,0.1,0.36,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,bivalve,scallops,,0.19,0.46,
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 37.877'W ,48,23.143,124,37.877,6,6,16,nudibranch,,,0,0,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,19.061,124,40.307,6,6,36,nudibranch,,,0,0,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.307'W,48,18.387,124,40.307,6,6,32,nudibranch,,,0.13,0.71,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,4.5-6,5,20,nudibranch,,,0,0,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",-,,,,,3-4.5,4,35,nudibranch,,,0,0,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 41.037'W,47,58.385,124,41.037,4.5-6,5,31,nudibranch,,,0,0,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,nudibranch,,,0,0,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 36.324'W,47,52.16,124,36.324,6-horiz,6,30,nudibranch,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,6-slope,6,14,nudibranch,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,12,12,16,nudibranch,,,0,0,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 43.382'W,48,23.304,124,43.382,18-21,20,32,nudibranch,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-horiz,6,13,nudibranch,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,6-slope,6,27,nudibranch,,,0,0,
Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",124¡ 44.283'W,48,23.428,124,44.283,12,12,30,nudibranch,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,nudibranch,,,0,0,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,nudibranch,,,0,0,
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,nudibranch,,,0,0,
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,nudibranch,,,0,0,
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,nudibranch,,,0,0,
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,nudibranch,,,0,0,
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,nudibranch,,,0,0,
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,nudibranch,,,0,0,
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,nudibranch,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,nudibranch,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,nudibranch,,,0,0,
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,nudibranch,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,nudibranch,,,0,0,
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,nudibranch,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,nudibranch,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,nudibranch,,,0,0,
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,nudibranch,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,nudibranch,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,nudibranch,,,0,0,
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,nudibranch,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,nudibranch,,,0,0,
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,nudibranch,,,0,0,
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,nudibranch,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,nudibranch,,,0,0,
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,nudibranch,,,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,gastropod,limpets,,0.24,0.6,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,gastropod,limpets,,0.4,0.9,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,gastropod,limpets,,0.06,0.3,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,gastropod,limpets,,0.67,0.82,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,gastropod,limpets,,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,gastropod,limpets,,0.65,1.23,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,gastropod,limpets,,0.16,0.42,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,gastropod,limpets,,0.96,1.73,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,gastropod,limpets,,0.06,0.24,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,gastropod,snails,,0.7,2.17,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,gastropod,snails,,0.56,1.07,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,gastropod,snails,,0.29,0.7,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,gastropod,snails,,0.59,1.72,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,gastropod,snails,,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,gastropod,snails,,3.95,4.79,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,gastropod,snails,,0.32,0.55,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,gastropod,snails,,1.18,1.79,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,gastropod,snails,,2.01,3.77,
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,6,6,30,seastar,sum of seastars (unided),,0,0,derived from OCNMS_final_Kvitek1999
Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 37.877'W,48,23.143,124,37.877,12,12,30,seastar,sum of seastars (unided),,0.133333333,0.730296743,derived from OCNMS_final_Kvitek1999
Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,19.061,124,40.307,6,6,30,seastar,sum of seastars (unided),,0.666666667,1.84453215,derived from OCNMS_final_Kvitek1999
Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.307'W,48,18.387,124,40.307,6,6,30,seastar,sum of seastars (unided),,0,0,derived from OCNMS_final_Kvitek1999
Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,seastar,sum of seastars (unided),,0.666666667,1.516196087,derived from OCNMS_final_Kvitek1999
Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",-,,,,,6,6,30,seastar,sum of seastars (unided),,0.266666667,1.014832527,derived from OCNMS_final_Kvitek1999
Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 41.037'W,47,58.385,124,41.037,6,6,30,seastar,sum of seastars (unided),,0,0,derived from OCNMS_final_Kvitek1999
Rock #305,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.201'W,47,57.026,124,40.201,6,6,30,seastar,sum of seastars (unided),,0.533333333,1.736689942,derived from OCNMS_final_Kvitek1999
Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 36.324'W,47,52.16,124,36.324,6,6,30,seastar,sum of seastars (unided),,0.266666667,1.014832527,derived from OCNMS_final_Kvitek1999
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,6,6,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,12,12,30,seastar,sum of seastars (unided),,0.266666667,1.014832527,derived from OCNMS_final_Kvitek1999
Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 43.382'W,48,23.304,124,43.382,18,18,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,6,6,28,seastar,sum of seastars (unided),,0.533333333,1.736689942,derived from OCNMS_final_Kvitek1999
Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 44.283'W,48,23.428,124,44.283,12,12,32,seastar,sum of seastars (unided),,0.8,3.04449758,derived from OCNMS_final_Kvitek1999
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,6,6,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,12,12,30,seastar,sum of seastars (unided),,0.133333333,0.730296743,derived from OCNMS_final_Kvitek1999
W. Chibahdehl,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 40.721'W,48,23.583,124,40.721,18,18,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,6,6,30,seastar,sum of seastars (unided),,7.333333333,6.733003292,derived from OCNMS_final_Kvitek1999
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,12,12,30,seastar,sum of seastars (unided),,2.8,3.346640106,derived from OCNMS_final_Kvitek1999
Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 47.093'W,48,11.045,124,47.093,18,18,30,seastar,sum of seastars (unided),,1.2,2.139932322,derived from OCNMS_final_Kvitek1999
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,6,6,30,seastar,sum of seastars (unided),,3.6,5.288895328,derived from OCNMS_final_Kvitek1999
Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 30.2'W,47,46.3,124,30.2,12,12,25,seastar,sum of seastars (unided),,2.533333333,4.264798442,derived from OCNMS_final_Kvitek1999
Destruction Island E,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 28.452'W,47,40.892,124,28.452,6,6,30,seastar,sum of seastars (unided),,0.8,1.627352409,derived from OCNMS_final_Kvitek1999
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,6,6,30,seastar,sum of seastars (unided),,0.666666667,1.516196087,derived from OCNMS_final_Kvitek1999
Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",124¡ 29.148'W,47,40.294,124,29.148,12,12,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,DERIMB,0.06,0.2,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,DERIMB,0.1,0.3,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,DERIMB,0.08,0.3,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,DERIMB,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,DERIMB,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,DERIMB,0,0,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,DERIMB,0.02,0.1,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,DERIMB,0,0,
